,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
61,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,131.5,0.9090909090909091,131.5,0.7692307692307693,16.0,0.3125,,54.0,53.0,0,1,6.0,8.0,1.0,20181017123611.0,11077.0,0.625,1.2
62,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,131.5,0.9090909090909091,131.5,0.7692307692307693,16.0,0.43478260869565216,,54.0,53.0,0,1,6.0,6.0,1.0,20181017123614.0,21077.0,0.625,1.2
63,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,131.5,0.7692307692307693,131.5,0.9090909090909091,16.0,0.43478260869565216,,54.0,53.0,0,1,5.0,57.0,1.0,20181017123622.0,21077.0,0.625,1.2
64,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,16.0,0.43478260869565216,,54.0,53.0,0,1,5.0,49.0,1.0,20181017123630.0,21077.0,0.625,1.2
65,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,16.0,0.3125,,54.0,53.0,0,1,5.0,45.0,1.0,20181017123634.0,11077.0,0.625,1.2
66,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,15.0,0.23529411764705882,^,56.0,53.0,0,1,5.0,40.0,1.0,20181017123639.0,11074^21077,0.625,1.2
67,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8695652173913043,130.5,0.8,15.0,0.23529411764705882,,56.0,53.0,0,1,5.0,36.0,1.0,20181017123643.0,21077.0,0.625,1.2
68,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8695652173913043,130.5,0.8,15.0,0.23529411764705882,,56.0,53.0,0,1,5.0,36.0,1.0,20181017123644.0,21077.0,0.625,1.2
69,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.23529411764705882,,56.0,53.0,0,1,5.0,27.0,1.0,20181017123652.0,21077.0,0.625,1.2
70,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,15.0,0.23529411764705882,,56.0,53.0,0,1,5.0,19.0,1.0,20181017123700.0,21077.0,0.625,1.2
71,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,15.0,0.16666666666666666,,56.0,53.0,0,1,5.0,17.0,1.0,20181017123702.0,11077.0,0.625,1.2
72,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,15.0,0.16666666666666666,,56.0,53.0,0,1,5.0,8.0,1.0,20181017123710.0,11077.0,0.625,1.2
73,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,15.0,0.125,^,58.0,53.0,0,1,5.0,2.0,1.0,20181017123717.0,11074^21077,0.625,1.2
74,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8695652173913043,130.5,0.8,15.0,0.125,,58.0,53.0,0,1,4.0,54.0,1.0,20181017123725.0,21077.0,0.625,1.2
