,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
72,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,1:2,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,31.0,0.0,20180721012934.0,11078.0
73,,,,64.5,0.91,-64.5,0.83,134.5,0.83,134.5,0.83,64.5,1:2,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,31.0,0.0,20180721012934.0,11078.0
74,,,,64.5,0.91,-64.5,0.77,134.5,0.83,134.5,0.83,-64.5,1:2^2:2,1.0,7,32.0,31,3.0,2,5,,4,42.9,50.0,89.0,89,28.0,0.0,1,4.0,31.0,0.0,20180721012943.0,11080^11078
75,,,,66.5,0.77,-66.5,0.77,134.5,0.83,134.5,0.83,66.5,2:2,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,31.0,0.0,20180721012943.0,11079.0
76,,,,66.5,0.77,-66.5,0.91,134.5,0.83,134.5,0.83,-66.5,2:2,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,31.0,1.0,20180721012947.0,11079.0
77,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,65.5,2:2,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,31.0,1.0,20180721012947.0,11079.0
78,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,23.0,1.0,20180721012955.0,21077.0
79,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,23.0,1.0,20180721012955.0,21077.0
80,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,15.0,1.0,20180721013004.0,21077.0
81,,,,64.5,0.91,-64.5,0.91,134.5,0.83,134.5,0.83,64.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,28.0,0.0,1,4.0,15.0,1.0,20180721013004.0,21077.0
82,,,,64.5,0.91,-64.5,0.77,134.5,0.83,134.5,0.83,-64.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,30.0,0.0,1,4.0,11.0,1.0,20180721013007.0,21077.0
83,,,,62.5,0.91,-62.5,0.77,134.5,0.83,134.5,0.83,62.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,30.0,0.0,1,4.0,11.0,1.0,20180721013007.0,21077.0
84,,,,62.5,0.91,-62.5,0.77,134.5,0.83,134.5,0.83,-62.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,30.0,0.0,1,4.0,8.0,1.0,20180721013010.0,21074.0
85,,,,63.5,0.91,-63.5,0.77,134.5,0.83,134.5,0.83,63.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,30.0,0.0,1,4.0,8.0,1.0,20180721013010.0,21074.0
86,,,,63.5,0.91,-63.5,0.77,134.5,0.83,134.5,0.83,-63.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,89,30.0,0.0,1,4.0,0.0,1.0,20180721013018.0,11077.0
87,,,,63.5,0.87,-63.5,0.8,134.5,0.83,134.5,0.83,-63.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,89.0,91,30.0,0.0,1,4.0,0.0,1.0,20180721013018.0,11077.0
88,,,,63.5,0.87,-63.5,0.8,134.5,0.83,134.5,0.83,-63.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,52.0,1.0,20180721013026.0,11077.0
89,,,,65.5,0.83,-65.5,0.8,134.5,0.83,134.5,0.83,65.5,,1.0,7,32.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,52.0,1.0,20180721013026.0,11077.0
90,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,51.0,1.0,20180721013027.0,11074.0
91,,,,64.5,0.83,-64.5,0.83,134.5,0.83,134.5,0.83,64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,51.0,1.0,20180721013027.0,11074.0
92,,,,64.5,0.83,-64.5,0.83,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,43.0,1.0,20180721013036.0,21077.0
93,,,,64.5,0.8,-64.5,0.87,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,43.0,1.0,20180721013036.0,21077.0
94,,,,64.5,0.8,-64.5,0.87,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,41.0,0.0,20180721013037.0,21077.0
95,,,,64.5,0.8,-64.5,0.87,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,41.0,0.0,20180721013037.0,21077.0
96,,,,64.5,0.8,-64.5,0.87,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,41.0,0.0,20180721013039.0,21077.0
97,,,,64.5,0.8,-64.5,0.87,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,1.0,1,3.0,41.0,0.0,20180721013039.0,21077.0
