,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
62,,,,3.5,0.77,-3.5,0.91,144.5,0.8,144.5,0.87,-3.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,31.0,1.0,20180721013249.0,11077.0,0.0,0.0
63,,,,3.5,0.77,-3.5,0.91,143.5,0.83,144.5,0.83,143.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,31.0,1.0,20180721013249.0,11077.0,0.0,0.0
64,,,,3.5,0.77,-3.5,0.91,143.5,0.83,143.5,0.83,143.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,22.0,1.0,20180721013258.0,11077.0,0.0,0.0
65,,,,3.5,0.77,-3.5,0.91,143.5,0.8,143.5,0.87,143.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,22.0,1.0,20180721013258.0,11077.0,0.0,0.0
66,,,,3.5,0.77,-3.5,0.91,143.5,0.8,143.5,0.87,143.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,19.0,1.0,20180721013300.0,11077.0,0.0,0.0
67,,,,3.5,0.77,-3.5,0.91,143.5,0.8,143.5,0.87,143.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,19.0,1.0,20180721013300.0,11095.0,0.0,0.0
68,,,,4.5,0.83,-4.5,0.91,143.5,0.8,143.5,0.87,4.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,15.0,1.0,20180721013304.0,11077.0,0.0,0.0
69,,,,4.5,0.83,-4.5,0.83,143.5,0.77,143.5,0.87,-4.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,15.0,1.0,20180721013304.0,11077.0,0.0,0.0
70,,,,4.5,0.83,-4.5,0.83,146.5,0.77,143.5,0.91,146.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,15.0,1.0,20180721013304.0,11077.0,0.0,0.0
71,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,^,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,1.0,1,6.0,15.0,1.0,20180721013304.0,11075^21077,0.0,0.0
