,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
46,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,9.0,1.0,20180925140521.0,21077.0,0.2857142857142857,2.5
47,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,0.0,1.0,20180925140530.0,21077.0,0.2857142857142857,2.5
48,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,6.0,52.0,1.0,20180925140538.0,21077.0,0.2857142857142857,2.5
49,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,6.0,43.0,1.0,20180925140547.0,11077.0,0.30303030303030304,2.4
50,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,6.0,37.0,0.0,20180925140553.0,11077.0,0.30303030303030304,2.4
51,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,6.0,37.0,0.0,20180925140557.0,21086.0,0.30303030303030304,2.4
52,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,37.0,0.0,20180925140605.0,21086.0,0.30303030303030304,2.4
53,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,37.0,1.0,20180925140616.0,21086.0,0.30303030303030304,2.4
54,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,28.0,1.0,20180925140624.0,11077.0,0.30303030303030304,2.4
55,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,26.0,1.0,20180925140626.0,21077.0,0.2857142857142857,2.5
56,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,130.5,0.8,130.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,17.0,1.0,20180925140634.0,21077.0,0.2857142857142857,2.5
