,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
79,,,,第1节,-27.5,0.83,27.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,54.0,0,,11077.0,
80,,,,第1节,-27.5,0.83,27.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,33.0,0,,11077.0,
81,,,,第1节,-27.5,0.8,26.5,0.87,154.5,0.83,154.5,0.83,26.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,33.0,0,,11077.0,
82,,,,第1节,-26.5,0.8,26.5,0.87,154.5,0.83,152.5,0.83,-26.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,33.0,0,,11077.0,
83,,,,第1节,-26.5,0.8,26.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,33.0,0,,11077.0,
84,,,,第1节,-26.5,0.8,26.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,24.0,0,,21077.0,
85,,,,第1节,-26.5,0.87,27.5,0.8,152.5,0.83,152.5,0.83,27.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,24.0,0,,21077.0,
86,,,,第1节,-27.5,0.87,27.5,0.8,152.5,0.83,152.5,0.83,-27.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
87,,,,第1节,-27.5,0.8,26.5,0.87,152.5,0.83,152.5,0.83,26.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
88,,,,第1节,-26.5,0.8,26.5,0.87,152.5,0.83,151.5,0.83,-26.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
89,,,,第1节,-26.5,0.8,26.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
90,,,,第1节,-26.5,0.8,26.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
91,,,,第1节,-26.5,0.8,28.5,0.87,151.5,0.83,151.5,0.83,28.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
92,,,,第1节,-28.5,0.8,28.5,0.87,151.5,0.83,154.5,0.83,-28.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
93,,,,第1节,-28.5,0.8,28.5,0.87,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21077.0,
94,,,,第1节,-28.5,0.8,28.5,0.87,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,14.0,0,,21075.0,
95,,,,第1节,-28.5,0.8,28.5,0.87,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,6.0,GD,6.0,0,,11077.0,
96,,,,第1节,-28.5,0.8,28.5,0.87,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,6.0,GD,6.0,0,,11077.0,
97,,,,第1节,-28.5,0.8,28.5,0.87,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,6.0,GD,4.0,0,,11077.0,
98,,,,第1节,-28.5,0.8,28.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,6.0,GD,4.0,0,,11077.0,
