,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
81,,,,-14.5,0.8,14.5,0.83,139.5,0.83,139.5,0.83,-14.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,1,7.0,1~GD,38.0,1.0,20180721114857.0,11077.0,,0.0,0.0
82,,,,-14.5,0.8,14.5,0.87,139.5,0.83,139.5,0.83,14.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,35.0,1.0,20180721114900.0,11077.0,,0.0,0.0
83,,,,-14.5,0.8,14.5,0.87,142.5,0.83,139.5,0.83,142.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,35.0,1.0,20180721114900.0,11077.0,,0.0,0.0
84,,,,-13.5,0.8,14.5,0.87,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,35.0,1.0,20180721114900.0,11077.0,,0.0,0.0
85,,,,-13.5,0.83,13.5,0.87,142.5,0.83,142.5,0.83,-13.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,35.0,1.0,20180721114900.0,11077.0,,0.0,0.0
86,,,,-13.5,0.83,13.5,0.83,142.5,0.83,142.5,0.83,13.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721114907.0,11074.0,,0.0,0.0
87,,,,-13.5,0.83,13.5,0.83,141.5,0.83,142.5,0.83,141.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721114907.0,11074.0,,0.0,0.0
88,,,,-13.5,0.83,13.5,0.83,141.5,0.83,141.5,0.83,141.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721114907.0,21077.0,,0.0,0.0
89,,,,-13.5,0.83,13.5,0.83,143.5,0.83,141.5,0.83,143.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721114907.0,21077.0,,0.0,0.0
90,,,,-13.5,0.83,13.5,0.83,143.5,0.83,143.5,0.83,143.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,20.0,1.0,20180721114915.0,21077.0,,0.0,0.0
91,,,,-15.5,0.87,15.5,0.83,143.5,0.83,143.5,0.83,-15.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,20.0,1.0,20180721114915.0,21077.0,,0.0,0.0
92,,,,-15.5,0.87,15.5,0.8,143.5,0.8,143.5,0.83,15.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,20.0,1.0,20180721114915.0,21074.0,,0.0,0.0
93,,,,-15.5,0.87,15.5,0.8,143.5,0.8,143.5,0.87,15.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721114921.0,21074.0,,0.0,0.0
94,,,,-14.5,0.8,14.5,0.8,143.5,0.8,143.5,0.87,-14.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721114921.0,21074.0,,0.0,0.0
95,,,,-14.5,0.8,14.5,0.87,143.5,0.83,143.5,0.87,14.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721114921.0,11077.0,,0.0,0.0
96,,,,-14.5,0.8,14.5,0.87,142.5,0.83,143.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721114921.0,11077.0,,0.0,0.0
97,,,,-14.5,0.8,14.5,0.87,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,0.0,20180721114928.0,11077.0,,0.0,0.0
98,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,0.0,20180721114928.0,11077.0,,0.0,0.0
99,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,0.0,20180721114929.0,11077.0,,0.0,0.0
