,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
116,,,,第1节,12.5,0.83,-12.5,0.8,141.5,0.83,141.5,0.83,12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
117,,,,第1节,12.5,0.87,-10.5,0.8,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
118,,,,第1节,10.5,0.83,-10.5,0.83,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
119,,,,第1节,10.5,0.8,-10.5,0.87,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
120,,,,第1节,10.5,0.83,-9.5,0.83,141.5,0.83,141.5,0.83,-9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
121,,,,第1节,9.5,0.8,-9.5,0.87,141.5,0.83,141.5,0.83,9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
122,,,,第1节,9.5,0.83,-8.5,0.83,141.5,0.83,141.5,0.83,-8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
123,,,,第1节,8.5,0.8,-8.5,0.87,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
124,,,,第1节,8.5,0.83,-8.5,0.83,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
125,,,,第1节,8.5,0.8,-10.5,0.87,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
126,,,,第1节,10.5,0.8,-10.5,0.8,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
127,,,,第1节,10.5,0.87,-9.5,0.8,141.5,0.83,141.5,0.83,-9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
128,,,,第1节,9.5,0.87,-9.5,0.83,141.5,0.83,141.5,0.83,9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
129,,,,第1节,9.5,0.83,-10.5,0.83,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
130,,,,第1节,10.5,0.83,-10.5,0.8,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
131,,,,第1节,10.5,0.87,-9.5,0.8,141.5,0.83,141.5,0.83,-9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
132,,,,第1节,9.5,0.87,-9.5,0.83,141.5,0.83,141.5,0.83,9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
133,,,,第1节,9.5,0.83,-10.5,0.83,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
134,,,,第1节,10.5,0.83,-10.5,0.83,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
135,,,,第1节,10.5,0.83,-8.5,0.83,141.5,0.83,141.5,0.83,-8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
136,,,,第1节,8.5,0.83,-8.5,0.8,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
137,,,,第1节,8.5,0.87,-9.5,0.8,141.5,0.83,141.5,0.83,-9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
138,,,,第1节,9.5,0.87,-9.5,0.87,141.5,0.83,141.5,0.83,9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
139,,,,第1节,9.5,0.8,-10.5,0.87,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
140,,,,第1节,10.5,0.8,-10.5,0.8,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
141,,,,第1节,10.5,0.87,-9.5,0.8,141.5,0.83,141.5,0.83,-9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
142,,,,第1节,9.5,0.87,-9.5,0.87,141.5,0.83,141.5,0.83,9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
143,,,,第1节,9.5,0.8,-10.5,0.87,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
144,,,,第1节,10.5,0.8,-10.5,0.8,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
145,,,,第1节,10.5,0.87,-9.5,0.8,141.5,0.83,141.5,0.83,-9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
146,,,,第1节,9.5,0.87,-9.5,0.87,141.5,0.83,141.5,0.83,9.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
