,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
42,,3.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,3.0,,1:1,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,100.0,38.0,60.0,0,1,6.0,29.0,0.0,20181019140826.0,21078.0,0.004,17.0
43,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,161.5,0.8695652173913043,161.5,0.8,3.0,,1:1^,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,60.0,0,1,6.0,29.0,1.0,20181019140846.0,21080^11077,0.004,17.0
44,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,3.0,,1:1^,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,60.0,0,1,6.0,21.0,1.0,20181019140855.0,21080^11077,0.004,17.0
45,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,160.5,0.8695652173913043,160.5,0.8,3.0,,1:1^,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,60.0,0,1,6.0,13.0,1.0,20181019140903.0,21080^11077,0.004,17.0
46,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,1:1^,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,60.0,0,1,6.0,10.0,0.0,20181019140905.0,21080^11077,0.004,17.0
47,,3.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,60.0,0,1,6.0,10.0,1.0,20181019140920.0,21077.0,0.004,17.0
48,,3.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,3.0,,,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,60.0,0,1,6.0,2.0,1.0,20181019140928.0,21077.0,0.004,17.0
49,,3.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,161.5,0.9090909090909091,161.5,0.7692307692307693,3.0,,^,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,58.0,1.0,20181019140932.0,21074^11077,0.004,17.0
50,,3.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,3.0,,^,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,50.0,1.0,20181019140940.0,21074^11077,0.004,17.0
51,,3.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,160.5,0.8695652173913043,160.5,0.8,3.0,,^,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,42.0,1.0,20181019140948.0,21074^11077,0.004,17.0
