,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
63,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,161.5,0.91,161.5,0.83,161.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,,1,6.0,GD,32.0,0,,21095.0,,0.0,0.0,"0.16,0.42"
64,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,161.5,0.91,161.5,0.83,161.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,,1,6.0,GD,14.0,0,,11077.0,,0.0,0.0,
65,44.0,5.0,,第1节,9.5,0.83,-10.5,0.91,161.5,0.91,161.5,0.83,-10.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,,1,6.0,GD,14.0,0,,11077.0,,0.0,0.0,
66,44.0,5.0,,第1节,10.5,0.83,-10.5,0.91,161.5,0.91,160.5,0.87,10.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,,1,6.0,GD,14.0,0,,11077.0,,0.0,0.0,
67,44.0,5.0,,第1节,10.5,0.83,-10.5,0.91,160.5,0.87,160.5,0.87,160.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,,1,6.0,GD,14.0,0,,11077.0,,0.0,0.0,
68,44.0,5.0,,第1节,10.5,0.83,-10.5,0.91,160.5,0.87,160.5,0.87,160.5,"#FFD950,#4E2D86,#4E2D86,#482F8A,#C40010,#0046A8,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#FFD950,1,6.0,GD,14.0,0,,11077.0,,0.0,0.0,
69,44.0,5.0,,第1节,10.5,0.83,-10.5,0.91,160.5,0.87,160.5,0.87,160.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#0A0A0A,1,6.0,GD,14.0,0,,11095.0,,0.0,0.0,"0.94,0.37"
70,44.0,5.0,,第1节,10.5,0.83,-10.5,0.91,160.5,0.87,160.5,0.87,160.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#0A0A0A,1,5.0,GD,58.0,0,,21077.0,,0.0,0.0,
71,44.0,5.0,,第1节,10.5,0.91,-9.5,0.83,160.5,0.87,160.5,0.87,-9.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#0A0A0A,1,5.0,GD,58.0,0,,21077.0,,0.0,0.0,
72,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,160.5,0.87,159.5,0.91,9.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#0A0A0A,1,5.0,GD,58.0,0,,21077.0,,0.0,0.0,
73,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,159.5,0.83,159.5,0.91,159.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#0A0A0A,1,5.0,GD,58.0,0,,21077.0,,0.0,0.0,
74,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,159.5,0.83,159.5,0.91,159.5,"#0A0A0A,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,#0A0A0A,1,5.0,GD,58.0,0,,11095.0,,0.0,0.0,"0.89,0.34"
