,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
177,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,13.0,0,,11077.0,0.77,0.91,
178,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,9.0,0,,11077.0,0.77,0.91,
179,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,9.0,0,,11094.0,0.77,0.91,"0.71,0.78"
180,,,,第1节,-4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-4.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,9.0,0,,21077.0,0.77,0.91,
181,,,,第1节,4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.87,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,43.0,0,,21077.0,0.77,0.91,
182,,,,第1节,4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.87,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,43.0,0,,21094.0,0.77,0.91,"0.38,0.39"
183,,,,第1节,-5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.87,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,43.0,0,,11077.0,0.77,0.91,
184,,,,第1节,5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,43.0,0,,11077.0,0.77,0.91,
185,,,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,43.0,0,,11077.0,0.77,0.91,
186,,,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,42.0,0,,11077.0,0.77,0.91,
187,,,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,3.0,GD,42.0,0,,11075.0,0.77,0.91,"0.88,0.06"
188,,,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,42.0,0,,21077.0,0.77,0.91,
189,,,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,23.0,0,,21077.0,0.77,0.91,
190,,,,第1节,-7.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-7.5,1.0,0.83,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,23.0,0,,21077.0,0.77,0.91,
191,,,,第1节,7.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,7.5,1.0,0.83,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,23.0,0,,21077.0,0.77,0.91,
192,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.83,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,23.0,0,,21077.0,0.77,0.91,
193,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,23.0,0,,21077.0,0.77,0.91,
194,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,21.0,0,,21077.0,0.77,0.91,
195,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,21.0,0,,21077.0,0.77,0.91,
196,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,20.0,0,,21077.0,0.77,0.91,
197,44.0,5.0,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,4.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,20.0,0,,21081.0,0.77,0.91,
198,44.0,5.0,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,4.0,4.0,0.0,5.0,14.0,0.0,1,3.0,GD,20.0,0,,21095.0,0.77,0.91,"0.07,0.40"
199,44.0,5.0,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,,,1.0,1.0,0.0,4.0,4.0,0.0,5.0,14.0,0.0,1,2.0,GD,59.0,0,,11077.0,0.77,0.91,
200,44.0,5.0,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.0,,,1.0,1.0,0.0,4.0,4.0,0.0,5.0,14.0,0.0,1,2.0,GD,59.0,0,,11077.0,0.77,0.91,
201,44.0,5.0,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.0,,,1.0,1.0,0.0,4.0,4.0,0.0,5.0,7.0,0.0,1,2.0,GD,59.0,0,,21077.0,0.77,0.91,
202,44.0,5.0,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.0,,,1.0,2.0,0.0,4.0,4.0,0.0,5.0,7.0,0.0,1,2.0,GD,59.0,0,,21074.0,0.77,0.91,"0.07,0.40"
203,44.0,5.0,,第1节,145.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,145.5,1.0,0.0,,,1.0,2.0,0.0,4.0,4.0,0.0,7.0,14.0,0.0,1,2.0,GD,59.0,0,,11077.0,0.77,0.91,
204,44.0,5.0,,第1节,-5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.8,,,1.0,2.0,0.0,4.0,4.0,0.0,7.0,14.0,0.0,1,2.0,GD,59.0,0,,11077.0,0.77,0.91,
205,44.0,5.0,,第1节,5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.87,,,1.0,2.0,0.0,4.0,4.0,0.0,7.0,14.0,0.0,1,2.0,GD,59.0,0,,11077.0,0.77,0.91,
