,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,MS,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,VI,WA_ODD,WH_ODD
487,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.9090909090909091,-3.5,0.7692307692307693,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,^,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,54.0,1.0,20181028155144.0,11074^21077,1.0,2.15,0.3448275862068966
488,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.9090909090909091,-3.5,0.7692307692307693,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,54.0,1.0,20181028155145.0,21077.0,1.0,2.15,0.3448275862068966
489,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8695652173913043,-3.5,0.8,189.5,0.9090909090909091,189.5,0.7692307692307693,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,45.0,1.0,20181028155153.0,21077.0,1.0,2.05,0.35714285714285715
490,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8695652173913043,-3.5,0.8,189.5,0.8,189.5,0.8695652173913043,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,36.0,1.0,20181028155202.0,21077.0,1.0,2.05,0.35714285714285715
491,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.9090909090909091,188.5,0.7692307692307693,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,33.0,1.0,20181028155206.0,21095.0,1.0,2.0,0.36363636363636365
492,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,4.5,0.8,-4.5,0.8695652173913043,188.5,0.8695652173913043,188.5,0.8,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,32.0,0.0,20181028155207.0,11077.0,1.0,2.3,0.3125
493,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8695652173913043,188.5,0.8,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,32.0,1.0,20181028155224.0,21077.0,1.0,2.0,0.36363636363636365
494,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8695652173913043,188.5,0.8,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,31.0,1.0,20181028155224.0,21077.0,1.0,2.0,0.36363636363636365
495,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8695652173913043,188.5,0.8,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,31.0,1.0,20181028155224.0,11077.0,1.0,2.0,0.36363636363636365
496,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8695652173913043,188.5,0.8,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,23.0,1.0,20181028155224.0,11077.0,1.0,2.0,0.36363636363636365
497,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,190.5,0.9090909090909091,190.5,0.7692307692307693,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,15.0,1.0,20181028155242.0,11077.0,1.0,2.0,0.36363636363636365
498,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.7692307692307693,-3.5,0.9090909090909091,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,10.0,1.0,20181028155246.0,21077.0,1.0,1.2,0.625
499,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,189.5,0.9090909090909091,189.5,0.7692307692307693,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,8.0,1.0,1.0,20181028155254.0,21077.0,1.0,1.1,0.6666666666666666
500,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8,-3.5,0.8695652173913043,189.5,0.8,189.5,0.8695652173913043,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,7.0,52.0,1.0,20181028155303.0,21077.0,1.0,1.1,0.6666666666666666
501,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,189.5,0.7692307692307693,189.5,0.9090909090909091,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,7.0,51.0,1.0,20181028155306.0,11077.0,1.0,1.25,0.5714285714285714
502,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,7.0,42.0,0.0,20181028155314.0,11077.0,1.0,1.25,0.5714285714285714
503,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,^,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,2.0,100.0,58.8,76.0,76.0,0,1,7.0,42.0,0.0,20181028155317.0,21086^11077,1.0,1.25,0.5714285714285714
