,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
41,4.0,-9.5,0.0,9.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,1.0,1.0,20181019163704.0,11077.0
42,4.0,-9.5,0.0,9.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,53.0,1.0,20181019163712.0,11095.0
43,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,44.0,1.0,20181019163721.0,21077.0
44,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,36.0,1.0,20181019163729.0,21077.0
45,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,36.0,1.0,20181019163729.0,21077.0
46,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,23.0,1.0,20181019163742.0,21077.0
47,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,15.0,1.0,20181019163750.0,21077.0
48,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,15.0,1.0,20181019163750.0,21095.0
49,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,6.0,1.0,20181019163759.0,21095.0
50,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,5.0,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,6.0,1.0,20181019163759.0,21077.0
51,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,5.0,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,0.0,0.0,20181019163806.0,21077.0
52,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,5.0,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,0.0,0.0,20181019163806.0,1084.0
53,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,5.0,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,0.0,0.0,20181019163819.0,1084.0
54,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,5.0,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,0.0,0.0,0.0,20181019163819.0,1084.0
