,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1,S2,S3,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
111,,,,第1节,36.5,0.8,-36.5,0.87,175.5,0.83,175.5,0.83,175.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
112,,,,第1节,36.5,0.8,-36.5,0.83,175.5,0.83,175.5,0.83,175.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
113,,,,第1节,36.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,-37.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
114,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
115,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
116,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
117,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
118,,,,第1节,37.5,0.83,-37.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
119,,,,第1节,37.5,0.83,-37.5,0.8,173.5,0.83,173.5,0.83,173.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
120,,,,第1节,37.5,0.87,-36.5,0.8,173.5,0.83,173.5,0.83,-36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,46.0,1.0,20180702184116.0,11074.0,
121,,,,第1节,36.5,0.87,-36.5,0.8,173.5,0.83,173.5,0.83,36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,0.0,1,3.0,GD,28.0,0.0,20180702184116.0,11074.0,
122,,,,第1节,36.5,0.87,-36.5,0.8,173.5,0.83,173.5,0.83,36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,28.0,0.0,20180702184116.0,11074.0,
123,,,,第1节,36.5,0.87,-36.5,0.8,173.5,0.83,173.5,0.83,36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,28.0,0.0,20180702184116.0,11074.0,
124,,,,第1节,36.5,0.87,-36.5,0.8,173.5,0.83,173.5,0.83,36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,28.0,0.0,20180702184116.0,11074.0,
125,,,,第1节,36.5,0.87,-36.5,0.8,174.5,0.83,174.5,0.83,174.5,1.0,9241317.0,1:2,,,,,,,,13.0,15.0,1.0,1,3.0,GD,28.0,0.0,20180702184116.0,21078.0,
