,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
39,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,21.0,1.0,20180922154431.0,11077.0
40,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,149.5,0.8,149.5,0.8695652173913043,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,12.0,1.0,20180922154439.0,11077.0
41,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,150.5,1.0,150.5,0.7142857142857143,,,,3,8.0,22.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,72,0,1,5.0,5.0,1.0,20180922154446.0,11074.0
42,4.0,-14.5,0.7692307692307693,14.5,0.9090909090909091,150.5,0.8695652173913043,150.5,0.8,,,,3,8.0,22.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,72,0,1,5.0,2.0,1.0,20180922154450.0,21077.0
43,4.0,-14.5,0.8,14.5,0.8695652173913043,150.5,0.7692307692307693,150.5,0.9090909090909091,,,,3,8.0,22.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,72,0,1,4.0,53.0,1.0,20180922154458.0,21077.0
44,4.0,-16.5,0.8,16.5,0.8695652173913043,152.5,0.7692307692307693,152.5,0.9090909090909091,,,,3,8.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,74,0,1,4.0,53.0,1.0,20180922154458.0,21074.0
45,4.0,-15.5,0.8,15.5,0.8695652173913043,152.5,0.7142857142857143,152.5,1.0,,,,3,8.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,74,0,1,4.0,50.0,1.0,20180922154501.0,11077.0
46,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,74,0,1,4.0,41.0,1.0,20180922154509.0,11077.0
47,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,151.5,0.7142857142857143,151.5,1.0,,,,3,8.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,74,0,1,4.0,33.0,1.0,20180922154517.0,11077.0
48,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,151.5,0.7142857142857143,151.5,1.0,,,,3,8.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,74,0,1,4.0,33.0,1.0,20180922154518.0,21077.0
49,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,3,8.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,74,0,1,4.0,24.0,1.0,20180922154526.0,21077.0
50,4.0,-19.5,0.8695652173913043,19.5,0.8,153.5,0.8333333333333334,153.5,0.8333333333333334,,,,3,9.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,77,0,1,4.0,22.0,1.0,20180922154529.0,21075.0
51,4.0,-18.5,0.8695652173913043,18.5,0.8,153.5,0.8,153.5,0.8695652173913043,,,,3,9.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,77,0,1,4.0,19.0,1.0,20180922154532.0,11077.0
52,4.0,-18.5,0.9090909090909091,18.5,0.7692307692307693,152.5,0.9090909090909091,152.5,0.7692307692307693,,,,3,9.0,22.0,18.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,61,77,0,1,4.0,10.0,1.0,20180922154540.0,11077.0
