,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
79,,,,第1节,13.5,0.83,-12.5,0.83,132.5,0.83,132.5,0.83,-12.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
80,,,,第1节,12.5,0.83,-12.5,0.83,132.5,0.83,132.5,0.83,12.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
81,,,,第1节,12.5,0.83,-13.5,0.83,132.5,0.83,132.5,0.83,-13.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
82,,,,第1节,13.5,0.83,-13.5,0.83,132.5,0.83,132.5,0.83,13.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
83,,,,第1节,13.5,0.83,-11.5,0.83,132.5,0.83,132.5,0.83,-11.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
84,,,,第1节,11.5,0.83,-11.5,0.8,132.5,0.83,132.5,0.83,11.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
85,,,,第1节,11.5,0.87,-10.5,0.8,132.5,0.83,132.5,0.83,-10.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
86,,,,第1节,10.5,0.83,-10.5,0.83,132.5,0.83,132.5,0.83,10.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
87,,,,第1节,10.5,0.83,-8.5,0.83,132.5,0.83,132.5,0.83,-8.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
88,,,,第1节,8.5,0.83,-8.5,0.83,132.5,0.83,132.5,0.83,8.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
89,,,,第1节,8.5,0.83,-10.5,0.83,132.5,0.83,132.5,0.83,-10.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
90,,,,第1节,10.5,0.83,-10.5,0.83,132.5,0.83,132.5,0.83,10.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
91,,,,第1节,10.5,0.83,-9.5,0.83,132.5,0.83,132.5,0.83,-9.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
92,,,,第1节,9.5,0.83,-9.5,0.83,132.5,0.83,132.5,0.83,9.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
93,,,,第1节,9.5,0.83,-8.5,0.83,132.5,0.83,132.5,0.83,-8.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
94,,,,第1节,8.5,0.83,-8.5,0.83,132.5,0.83,132.5,0.83,8.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
95,,,,第1节,8.5,0.87,-6.5,0.8,132.5,0.83,132.5,0.83,-6.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
96,,,,第1节,6.5,0.83,-6.5,0.83,132.5,0.83,132.5,0.83,6.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
97,,,,第1节,6.5,0.83,-7.5,0.83,132.5,0.83,132.5,0.83,-7.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
98,,,,第1节,7.5,0.8,-7.5,0.87,132.5,0.83,132.5,0.83,7.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
99,,,,第1节,7.5,0.87,-5.5,0.8,132.5,0.83,132.5,0.83,-5.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
100,,,,第1节,5.5,0.87,-5.5,0.83,132.5,0.83,132.5,0.83,5.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
101,,,,第1节,5.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,-3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
102,,,,第1节,3.5,0.8,-3.5,0.87,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
103,,,,第1节,3.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
104,,,,第1节,3.5,0.8,-3.5,0.87,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
105,,,,第1节,3.5,0.87,-2.5,0.8,132.5,0.83,132.5,0.83,-2.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
106,,,,第1节,2.5,0.87,-2.5,0.83,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
107,,,,第1节,2.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,-3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
108,,,,第1节,3.5,0.83,-3.5,0.8,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
109,,,,第1节,3.5,0.87,-2.5,0.8,132.5,0.83,132.5,0.83,-2.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
110,,,,第1节,2.5,0.87,-2.5,0.83,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
111,,,,第1节,2.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,-3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
112,,,,第1节,3.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
113,,,,第1节,3.5,0.83,-5.5,0.83,132.5,0.83,132.5,0.83,-5.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
114,,,,第1节,5.5,0.83,-5.5,0.87,132.5,0.83,132.5,0.83,5.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
115,,,,第1节,5.5,0.8,-4.5,0.87,132.5,0.83,132.5,0.83,-4.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
116,,,,第1节,4.5,0.8,-4.5,0.87,132.5,0.83,132.5,0.83,4.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
117,,,,第1节,4.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,-3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
118,,,,第1节,3.5,0.87,-3.5,0.8,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
119,,,,第1节,3.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
120,,,,第1节,3.5,0.8,-2.5,0.87,132.5,0.83,132.5,0.83,-2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
121,,,,第1节,2.5,0.8,-2.5,0.83,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
122,,,,第1节,2.5,0.83,1.5,0.83,132.5,0.83,132.5,0.83,1.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
123,,,,第1节,-1.5,0.83,1.5,0.87,132.5,0.83,132.5,0.83,-1.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
