,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
64,44.0,5.0,,第2节,12.5,0.87,-13.5,0.8,128.5,0.83,128.5,0.83,-13.5,,0.0,,24.0,35.0,0.0,1,0.0,55.0,0,,21077.0,0.0,0.0,
65,44.0,5.0,,第2节,13.5,0.87,-13.5,0.8,128.5,0.83,129.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,55.0,0,,21077.0,0.0,0.0,
66,44.0,5.0,,第2节,13.5,0.87,-13.5,0.8,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,35.0,0.0,1,0.0,55.0,0,,21077.0,0.0,0.0,
67,44.0,5.0,,第2节,13.5,0.87,-13.5,0.8,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,35.0,0.0,1,0.0,55.0,0,,21077.0,0.0,0.0,
68,44.0,5.0,,第2节,13.5,0.87,-13.5,0.8,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
69,44.0,5.0,,第2节,13.5,0.8,-14.5,0.87,129.5,0.83,129.5,0.83,-14.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
70,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,129.5,0.83,127.5,0.83,14.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
71,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,127.5,0.83,127.5,0.83,127.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
72,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,127.5,0.83,127.5,0.83,127.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
73,44.0,5.0,,第2节,14.5,0.83,-13.5,0.83,127.5,0.83,127.5,0.83,-13.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
74,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,127.5,0.83,127.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,32.0,0,,11077.0,0.0,0.0,
75,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,127.5,0.83,127.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,11077.0,0.0,0.0,
76,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,127.5,0.83,127.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,11095.0,0.0,0.0,"0.89,0.36"
77,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,127.5,0.83,127.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,21077.0,0.0,0.0,
78,44.0,5.0,,第2节,13.5,0.8,-14.5,0.87,127.5,0.83,127.5,0.83,-14.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,21095.0,0.0,0.0,"0.13,0.42"
79,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,127.5,0.83,126.5,0.83,14.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,21095.0,0.0,0.0,"0.13,0.42"
80,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,126.5,0.83,126.5,0.83,126.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,21095.0,0.0,0.0,"0.13,0.42"
81,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,126.5,0.83,126.5,0.83,126.5,,0.0,,24.0,35.0,0.0,1,0.0,26.0,0,,11077.0,0.0,0.0,
82,44.0,5.0,,第2节,14.5,0.8,-14.5,0.87,126.5,0.83,126.5,0.83,126.5,,0.0,,24.0,35.0,0.0,1,0.0,14.0,0,,11077.0,0.0,0.0,
83,44.0,5.0,,第2节,14.5,0.83,-13.5,0.83,126.5,0.83,126.5,0.83,-13.5,,0.0,,24.0,35.0,0.0,1,0.0,14.0,0,,21077.0,0.0,0.0,
84,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,126.5,0.83,126.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,14.0,0,,21077.0,0.0,0.0,
85,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,126.5,0.83,126.5,0.83,13.5,,0.0,,24.0,35.0,0.0,1,0.0,14.0,0,,21074.0,0.0,0.0,"0.13,0.42"
