,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
46,Q4,4th Quarter,-3.5,0.8,3.5,0.8695652173913043,109.5,0.8333333333333334,109.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,10.0,0.0,1.0,20181108151502.0,01090^11077,0.37037037037037035,1.95
47,Q4,4th Quarter,-3.5,0.8,3.5,0.8695652173913043,109.5,0.8333333333333334,109.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,51.0,1.0,20181108151510.0,01090^11077,0.36363636363636365,2.0
48,Q4,4th Quarter,-3.5,0.8,3.5,0.8695652173913043,108.5,0.8333333333333334,108.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,43.0,1.0,20181108151518.0,01090^11077,0.35714285714285715,2.05
49,Q4,4th Quarter,-3.5,0.8,3.5,0.8695652173913043,108.5,0.8333333333333334,108.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,36.0,0.0,20181108151525.0,01090^11077,0.35714285714285715,2.05
50,Q4,4th Quarter,-3.5,0.8,3.5,0.8695652173913043,108.5,0.8333333333333334,108.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,36.0,1.0,20181108151537.0,01090^11077,0.35714285714285715,2.05
51,Q4,4th Quarter,-3.5,0.7692307692307693,3.5,0.9090909090909091,107.5,1.0,107.5,0.7142857142857143,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,28.0,1.0,20181108151546.0,01090^11077,0.3448275862068966,2.15
52,Q4,4th Quarter,-3.5,0.7692307692307693,3.5,0.9090909090909091,107.5,0.8333333333333334,107.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,20.0,1.0,20181108151554.0,01090^11077,0.3448275862068966,2.15
53,Q4,4th Quarter,-3.5,0.7692307692307693,3.5,0.9090909090909091,107.5,0.8333333333333334,107.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,12.0,1.0,20181108151602.0,01090^11077,0.3333333333333333,2.25
54,Q4,4th Quarter,-3.5,0.7692307692307693,3.5,0.9090909090909091,106.5,0.8333333333333334,106.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,9.0,3.0,1.0,20181108151610.0,01090^11077,0.3333333333333333,2.25
55,Q4,4th Quarter,-3.5,0.7692307692307693,3.5,0.9090909090909091,106.5,0.8333333333333334,106.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,55.0,1.0,20181108151618.0,01090^11077,0.3333333333333333,2.25
56,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,105.5,0.8333333333333334,105.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,48.0,0.0,20181108151626.0,01090^11077,0.3333333333333333,2.25
57,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,105.5,0.8333333333333334,105.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,48.0,1.0,20181108151632.0,01090^11077,0.3333333333333333,2.25
58,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,105.5,0.8333333333333334,105.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,40.0,1.0,20181108151640.0,01090^11077,0.3125,2.3
