,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
108,,,,,-10.5,0.83,10.5,0.83,156.5,0.83,156.5,0.83,10.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,28.0,1.0,20180717140744.0,1015,,0.0,0.0
109,,,,,-10.5,0.83,10.5,0.83,155.5,0.83,156.5,0.83,155.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,28.0,1.0,20180717140744.0,1015,,0.0,0.0
110,,,,,-10.5,0.83,10.5,0.83,155.5,0.83,155.5,0.83,155.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,20.0,1.0,20180717140752.0,1015,,0.0,0.0
111,,,,,-10.5,0.83,10.5,0.83,154.5,0.83,155.5,0.83,154.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,12.0,1.0,20180717140800.0,1015,,0.0,0.0
112,,,,,-10.5,0.83,10.5,0.83,154.5,0.83,154.5,0.83,154.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,4.0,1.0,20180717140807.0,1015,,0.0,0.0
113,,,,,-10.5,0.83,10.5,0.83,154.5,0.83,154.5,0.83,154.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,3.0,0.0,20180717140809.0,1015,,0.0,0.0
114,,,,,-10.5,0.83,10.5,0.83,154.5,0.83,154.5,0.83,154.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,3.0,0.0,20180717140812.0,1015,,0.0,0.0
115,,,,,-10.5,0.83,10.5,0.83,153.5,0.83,154.5,0.83,153.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,3.0,1.0,20180717140840.0,1015,,0.0,0.0
116,,,,,-10.5,0.83,10.5,0.83,153.5,0.83,153.5,0.83,153.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,3.0,1~GD,55.0,1.0,20180717140848.0,1015,,0.0,0.0
117,,,,,-10.5,0.83,10.5,0.83,153.5,0.8,153.5,0.87,153.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,3.0,1~GD,54.0,1.0,20180717140849.0,1015,,0.0,0.0
