,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
62,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,22.0,1.0,20181109034228.0,11077.0,5.25,0.10526315789473684
63,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,13.0,1.0,20181109034237.0,11077.0,5.25,0.10526315789473684
64,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,9.0,1.0,20181109034237.0,11077.0,5.25,0.10526315789473684
65,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,^,,,8.0,4.0,20.0,23.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,66.0,0,1,4.0,2.0,1.0,20181109034250.0,21074^11077,3.4,0.18181818181818182
66,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,23.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,66.0,0,1,4.0,2.0,1.0,20181109034251.0,11077.0,3.4,0.18181818181818182
67,,,,,3.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,23.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,66.0,0,1,4.0,1.0,0.0,20181109034251.0,11077.0,3.4,0.18181818181818182
68,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,^,,,8.0,4.0,20.0,23.0,8.0,8.0,3,2.0,2.0,1.0,88.9,80.0,72.0,66.0,0,1,4.0,1.0,0.0,20181109034253.0,11086^21077,3.0,0.2222222222222222
69,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,208.5,0.8333333333333334,208.5,0.8333333333333334,,,,1:1,,,8.0,4.0,20.0,23.0,8.0,8.0,3,2.0,2.0,1.0,88.9,80.0,72.0,66.0,0,1,4.0,1.0,0.0,20181109034254.0,21078.0,3.3,0.2
70,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,208.5,0.8333333333333334,208.5,0.8333333333333334,,22.0,,1:1^,,,8.0,4.0,20.0,23.0,8.0,9.0,3,2.0,2.0,1.0,88.9,81.8,72.0,67.0,0,1,4.0,1.0,0.0,20181109034313.0,21079^11077,3.25,0.21052631578947367
71,,,,,3.0,7.5,0.8333333333333334,-7.5,0.8333333333333334,208.5,0.8333333333333334,208.5,0.8333333333333334,,22.0,,1:1^,,,8.0,4.0,20.0,23.0,8.0,9.0,3,2.0,2.0,1.0,88.9,81.8,72.0,67.0,0,1,4.0,0.0,0.0,20181109034313.0,21079^11077,3.25,0.21052631578947367
