,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
67,,,,第1节,68.5,0.87,-68.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,58.0,0,,21077.0,
68,44.0,5.0,,第1节,68.5,0.87,-68.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,55.0,0,,21081.0,
69,44.0,5.0,,第1节,68.5,0.83,-69.5,0.83,146.5,0.83,146.5,0.83,-69.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,55.0,0,,21081.0,
70,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,146.5,0.83,147.5,0.83,69.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,55.0,0,,21081.0,
71,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,55.0,0,,21081.0,
72,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,8.0,GD,8.0,0,,21081.0,
73,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,8.0,GD,8.0,0,,21095.0,"0.28,0.20"
74,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,47.0,0,,11077.0,
75,44.0,5.0,,第1节,69.5,0.87,-68.5,0.8,147.5,0.83,147.5,0.83,-68.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,47.0,0,,11077.0,
76,44.0,5.0,,第1节,68.5,0.87,-68.5,0.8,147.5,0.83,145.5,0.83,68.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,47.0,0,,11077.0,
77,44.0,5.0,,第1节,68.5,0.87,-68.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,47.0,0,,11077.0,
78,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,46.0,0,,21077.0,
