,AM,AS,ED,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
105,,,,2.0,2:2^,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,45.0,1.0,20181108170211.0,21079^11077
106,,,,2.0,,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,36.0,1.0,20181108170220.0,11077.0
107,,,,2.0,,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,28.0,1.0,20181108170228.0,11077.0
108,,,,2.0,,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,31.0,1.0,20181108170228.0,21077.0
109,,,,2.0,,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,25.0,1.0,20181108170234.0,11077.0
110,,,,2.0,,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,24.0,1.0,20181108170234.0,11077.0
111,,,,2.0,,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,23.0,0.0,20181108170236.0,11077.0
112,,,,1.0,^,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,9.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,23.0,0.0,20181108170239.0,21086^11077
113,,,,2.0,1:2,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,9.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,23.0,0.0,20181108170256.0,11078.0
114,,,,2.0,1:2^2:2,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,9.0,2,4,55.6,55.0,77.8,70,67,0,1,0.0,23.0,0.0,20181108170325.0,11080^11078
