,AM,AS,CU,DC,ED,MD,PG,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,UC,VC
55,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,10.0,15.0,0,1,3.0,14.0,0.0,20180919102744.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
56,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,10.0,15.0,0,1,3.0,14.0,1.0,20180919102928.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
57,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,16.0,10.0,16.0,0,1,3.0,14.0,1.0,20180919102928.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
58,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,10.0,16.0,0,1,3.0,14.0,1.0,20180919102928.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
59,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,3.0,14.0,1.0,20180919102928.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
60,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,2.0,2.0,0.0,20180919102928.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
61,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,2.0,2.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
62,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,2.0,2.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
63,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,1.0,56.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
64,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,1.0,56.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
65,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,1.0,22.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
66,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,11.0,11.0,16.0,0,1,1.0,22.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
67,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,17.0,11.0,17.0,0,1,1.0,22.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
68,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,17.0,11.0,17.0,0,1,1.0,22.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
