,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
60,,上半场,2.5,0.91,-2.5,0.83,120.5,0.83,120.5,0.91,120.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
61,,上半场,2.5,0.91,-3.5,0.83,120.5,0.83,120.5,0.91,-3.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
62,,上半场,3.5,0.91,-3.5,0.83,120.5,0.83,118.5,0.83,3.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
63,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,118.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
64,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,118.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
65,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,118.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
66,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,118.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
67,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,118.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
68,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,118.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
69,,上半场,3.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,-2.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,0.0,0.0
70,,上半场,2.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,2.5,1.0,,4.0,3.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,1,18.0,GD,0.0,1.0,,21074.0,0.0,0.0
71,,上半场,2.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,2.5,1.0,,4.0,3.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
72,,上半场,2.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,2.5,1.0,,4.0,3.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
73,,上半场,2.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,2.5,1.0,,4.0,3.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
74,,上半场,2.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,2.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,1,18.0,GD,0.0,1.0,,11074.0,1.35,0.61
75,,上半场,2.5,0.87,-2.5,0.87,118.5,0.91,118.5,0.83,2.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
76,,上半场,2.5,0.87,-3.5,0.87,118.5,0.91,118.5,0.83,-3.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
77,,上半场,3.5,0.87,-3.5,0.87,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
78,,上半场,3.5,0.87,-3.5,0.87,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
79,,上半场,3.5,0.87,-3.5,0.87,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
80,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
81,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,17.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
82,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,1.0,1,18.0,GD,0.0,1.0,,11074.0,1.35,0.61
83,,上半场,3.5,0.91,-3.5,0.83,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
84,,上半场,3.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,-4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
85,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
