,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
39,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,53.0,1.0,20180519004314.0,21077.0,0.0,0.0
40,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,53.0,1.0,20180519004315.0,21077.0,0.0,0.0
41,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,53.0,1.0,20180519004315.0,11077.0,0.0,0.0
42,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,44.0,1.0,20180519004324.0,11077.0,0.0,0.0
43,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,44.0,1.0,20180519004324.0,11077.0,0.0,0.0
44,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,40.0,1.0,20180519004327.0,11077.0,0.0,0.0
45,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,40.0,1.0,20180519004327.0,11077.0,0.0,0.0
46,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,40.0,1.0,20180519004329.0,11077.0,0.0,0.0
47,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,40.0,1.0,20180519004329.0,11075.0,0.0,0.0
48,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,40.0,1.0,20180519004329.0,21077.0,0.0,0.0
49,,,,第1节,-17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,40.0,1.0,20180519004329.0,21077.0,0.0,0.0
50,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,30.0,1.0,20180519004338.0,21077.0,0.0,0.0
51,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,30.0,1.0,20180519004338.0,21077.0,0.0,0.0
52,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,29.0,1.0,20180519004340.0,21077.0,0.0,0.0
53,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,29.0,1.0,20180519004340.0,11077.0,0.0,0.0
54,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,19.0,1.0,20180519004349.0,11077.0,0.0,0.0
