,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
46,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,42.0,1.0,20181111034634.0,21077.0,0.05,10.75
47,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,37.0,1.0,20181111034639.0,21077.0,0.045454545454545456,11.25
48,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,37.0,1.0,20181111034639.0,21095.0,0.045454545454545456,11.25
49,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,28.0,1.0,20181111034649.0,21095.0,0.07142857142857142,8.25
50,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,23.0,1.0,20181111034654.0,21095.0,0.0625,9.25
51,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,20.0,1.0,20181111034656.0,21095.0,0.0625,9.25
52,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,20.0,1.0,20181111034656.0,11094.0,0.0625,9.25
53,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,12.0,1.0,20181111034704.0,21077.0,0.02857142857142857,14.5
54,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,8.0,1.0,20181111034708.0,21077.0,0.02857142857142857,14.5
55,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,8.0,1,71.4,76.5,85,91,0,1,1.0,7.0,0.0,20181111034709.0,11086^21077,0.02857142857142857,14.5
56,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2,9,12.0,19.0,20.0,20.0,13.0,3,0.0,8.0,1,71.4,76.5,85,91,0,1,1.0,7.0,0.0,20181111034710.0,21078.0,0.02857142857142857,14.5
57,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2,9,12.0,19.0,20.0,20.0,13.0,3,0.0,8.0,1,71.4,76.5,85,91,0,1,0.0,58.0,0.0,20181111034714.0,21078.0,0.025,15.0
58,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2,9,12.0,19.0,20.0,20.0,13.0,3,0.0,8.0,1,71.4,76.5,85,91,0,1,0.0,51.0,0.0,20181111034719.0,21078.0,0.02,15.5
59,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2^2:2,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,77.8,85,92,0,1,1.0,23.0,0.0,20181111034734.0,21079^21078,0.02857142857142857,14.5
60,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,2:2^,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,23.0,1.0,20181111034801.0,21080^11077,0.04,12.25
61,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,23.0,1.0,20181111034802.0,11077.0,0.04,12.25
62,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,15.0,1.0,20181111034810.0,11094.0,0.03333333333333333,14.25
63,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,15.0,1.0,20181111034811.0,21077.0,0.015151515151515152,16.0
64,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,14.0,1.0,20181111034812.0,21077.0,0.015151515151515152,16.0
65,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,10.0,0.0,20181111034815.0,21077.0,0.015151515151515152,16.0
66,,,4.0,-6.5,0.0,6.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,0.0,8.0,1,71.4,73.7,85,92,0,1,1.0,13.0,0.0,20181111034818.0,21077.0,0.015151515151515152,16.0
67,44.0,5.0,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,8.0,1,71.4,73.7,85,92,0,1,1.0,7.0,0.0,20181111034819.0,21081.0,0.0125,16.5
68,44.0,5.0,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,8.0,1,71.4,73.7,85,92,0,1,1.0,7.0,0.0,20181111034819.0,21081.0,0.01,17.0
69,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,8.0,1,71.4,73.7,85,92,0,1,1.0,7.0,0.0,20181111034951.0,21077.0,0.01,17.0
70,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,8.0,1,71.4,73.7,85,92,0,1,1.0,7.0,1.0,20181111034955.0,21077.0,0.01,17.0
71,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,9.0,1,71.4,73.7,85,92,0,1,1.0,0.0,0.0,20181111035002.0,11086^21077,0.01,17.0
72,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,9.0,1,71.4,73.7,85,92,0,1,1.0,0.0,0.0,20181111035003.0,21078.0,0.01,17.0
73,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2,9,12.0,19.0,20.0,20.0,14.0,3,-1.0,9.0,1,71.4,73.7,85,92,0,1,0.0,56.0,0.0,20181111035006.0,21078.0,0.01,17.0
74,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,1:2^2:2,9,12.0,19.0,20.0,20.0,15.0,3,-1.0,9.0,1,71.4,75.0,85,93,0,1,1.0,4.0,0.0,20181111035025.0,21079^21078,0.005,20.0
75,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,2:2^,9,12.0,19.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,85,94,0,1,1.0,4.0,0.0,20181111035042.0,21079^11077,0.005,20.0
76,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,,9,12.0,19.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,85,94,0,1,1.0,4.0,0.0,20181111035044.0,11077.0,0.005,20.0
77,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,,9,12.0,19.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,85,94,0,1,1.0,4.0,1.0,20181111035050.0,11077.0,0.005,20.0
78,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,,9,12.0,19.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,85,94,0,1,0.0,55.0,1.0,20181111035059.0,11077.0,0.005,20.0
79,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,,9,12.0,19.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,85,94,0,1,0.0,53.0,1.0,20181111035100.0,11095.0,0.005,20.0
80,,,4.0,-8.5,0.0,8.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,,9,12.0,19.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,85,94,0,1,0.0,53.0,1.0,20181111035101.0,11077.0,0.005,20.0
81,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,20.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,87,94,0,1,0.0,51.0,1.0,20181111035102.0,11074^21077,0.005,20.0
82,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,,9,12.0,20.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,87,94,0,1,0.0,51.0,1.0,20181111035103.0,21077.0,0.005,20.0
83,,,4.0,-7.5,0.0,7.5,0.0,187.5,0.7692307692307693,187.5,1.0,2.0,,9,12.0,20.0,20.0,20.0,16.0,3,-1.0,9.0,1,71.4,76.2,87,94,0,1,0.0,43.0,0.0,20181111035111.0,21077.0,0.005,20.0
