,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
33,,,,,,7.5,0.83,-7.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,8.0,1~GD,47.0,1.0,20180721120152.0,11077.0,,1.25,0.0
34,,,,,,7.5,0.83,-7.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,8.0,1~GD,47.0,1.0,20180721120152.0,11077.0,,1.25,0.0
35,,,,,,7.5,0.83,-7.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,8.0,1~GD,39.0,1.0,20180721120200.0,11077.0,,1.25,0.0
36,,,,,,7.5,0.83,-7.5,0.83,154.5,0.83,152.5,0.83,154.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,8.0,1~GD,39.0,1.0,20180721120200.0,11077.0,,1.25,0.0
37,,,,,,7.5,0.83,-7.5,0.83,154.5,0.83,154.5,0.83,154.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,34.0,1.0,20180721120204.0,11077.0,,1.25,0.0
38,,,,,,8.5,0.87,-8.5,0.83,154.5,0.83,154.5,0.83,8.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,34.0,1.0,20180721120204.0,11077.0,,1.25,0.0
39,,,,,,8.5,0.87,-8.5,0.8,154.5,0.83,154.5,0.83,-8.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,32.0,1.0,20180721120207.0,11074.0,,1.25,0.0
40,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,154.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,32.0,1.0,20180721120207.0,21077.0,,1.25,0.0
41,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,24.0,1.0,20180721120215.0,21077.0,,1.25,0.0
42,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,24.0,1.0,20180721120215.0,21077.0,,1.25,0.0
43,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,0.0,20180721120217.0,21077.0,,1.25,0.0
44,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,0.0,20180721120217.0,21077.0,,1.25,0.0
45,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,0.0,20180721120218.0,21077.0,,1.25,0.0
46,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,0.0,20180721120218.0,11086.0,,1.25,0.0
