,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
50,,第1节,1.5,0.83,-1.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,56.0,0,,21077.0,1.0,0.71,
51,,第1节,1.5,0.83,-1.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,41.0,0,,21077.0,1.0,0.71,
52,,第1节,1.5,0.87,-3.5,0.8,159.5,0.83,159.5,0.83,-3.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,41.0,0,,21077.0,1.0,0.71,
53,,第1节,3.5,0.87,-3.5,0.8,159.5,0.83,162.5,0.83,3.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,41.0,0,,21077.0,1.0,0.71,
54,,第1节,3.5,0.87,-3.5,0.8,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,41.0,0,,21077.0,1.0,0.71,
55,,第1节,3.5,0.87,-3.5,0.8,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,24.0,0,,21077.0,0.0,0.0,
56,,第1节,3.5,0.87,-3.5,0.8,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,24.0,0,,21095.0,0.0,0.0,"0.11,0.46"
57,,第1节,3.5,0.87,-3.5,0.8,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,24.0,0,,11077.0,0.0,0.0,
58,,第1节,3.5,0.87,-3.5,0.8,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,6.0,0.0,1,8.0,GD,22.0,0,,21077.0,0.0,0.0,
59,,第1节,3.5,0.87,-3.5,0.8,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,4.0,0.0,1,8.0,GD,22.0,0,,21074.0,0.0,0.0,"0.11,0.46"
60,,第1节,3.5,0.87,-3.5,0.8,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,22.0,0,,11077.0,0.0,0.0,
61,,第1节,3.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,-2.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,22.0,0,,11077.0,0.0,0.0,
62,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,163.5,0.83,2.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,22.0,0,,11077.0,0.0,0.0,
63,,第1节,2.5,0.83,-2.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,22.0,0,,11077.0,0.0,0.0,
64,,第1节,2.5,0.83,-2.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,22.0,0,,11095.0,1.1,0.66,"0.82,0.50"
65,,第1节,2.5,0.83,-2.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,2.0,0,,21077.0,1.1,0.66,
66,,第1节,2.5,0.83,-2.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,2.0,0,,21077.0,1.1,0.66,
67,,第1节,2.5,0.83,-2.5,0.83,161.5,0.83,160.5,0.83,161.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,2.0,0,,21077.0,1.1,0.66,
68,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,2.0,0,,21077.0,1.1,0.66,
69,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,8.0,GD,2.0,0,,21095.0,1.2,0.63,"0.09,0.41"
70,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,7.0,GD,50.0,0,,11077.0,1.2,0.63,
71,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,8.0,6.0,0.0,1,7.0,GD,50.0,0,,11074.0,1.2,0.63,"0.88,0.55"
72,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,8.0,0.0,1,7.0,GD,46.0,0,,21077.0,1.2,0.63,
73,,第1节,2.5,0.83,-3.5,0.83,160.5,0.83,160.5,0.83,-3.5,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,8.0,0.0,1,7.0,GD,46.0,0,,21077.0,1.2,0.63,
74,,第1节,3.5,0.83,-3.5,0.83,160.5,0.83,162.5,0.83,3.5,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,8.0,0.0,1,7.0,GD,46.0,0,,21077.0,1.2,0.63,
75,,第1节,3.5,0.83,-3.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,8.0,0.0,1,7.0,GD,46.0,0,,21077.0,1.2,0.63,
76,,第1节,3.5,0.83,-3.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,8.0,0.0,1,7.0,GD,37.0,0,,21077.0,0.0,0.0,
77,,第1节,3.5,0.83,-3.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,4.0,6.0,0.0,1,7.0,GD,37.0,0,,21074.0,0.0,0.0,"0.11,0.38"
78,,第1节,3.5,0.83,-3.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,37.0,0,,11077.0,0.0,0.0,
