,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
92,第1节,3.5,0.83,-3.5,0.83,200.5,0.83,200.5,0.83,200.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,1.25,0.0
93,第1节,3.5,0.87,-4.5,0.8,200.5,0.83,200.5,0.83,-4.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,1.25,0.0
94,第1节,4.5,0.87,-4.5,0.8,200.5,0.83,202.5,0.83,4.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,1.25,0.0
95,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,1.25,0.0
96,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,0.0,0.45
97,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,0.0,0.45
98,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,0.0,0.45
99,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,0.0,0.45
100,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,45.0,0,,21077.0,0.0,0.45
101,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,0.0,1,7.0,45.0,0,,21077.0,0.0,0.45
102,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,0.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
103,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
104,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
105,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
106,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
107,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
108,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,14.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
109,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,1.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,14.0,1.0,0.0,10.0,0.0,0,,11075.0,0.0,0.45
110,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,1.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,17.0,1.0,0.0,10.0,0.0,0,,21077.0,0.0,0.45
111,第1节,4.5,0.87,-4.5,0.8,202.5,0.83,202.5,0.83,202.5,1.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,17.0,1.0,1.0,7.0,20.0,0,,21077.0,0.0,0.45
112,第1节,4.5,0.8,-4.5,0.87,199.5,0.83,199.5,0.83,199.5,1.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,17.0,1.0,1.0,7.0,20.0,0,,21077.0,0.0,0.45
113,第1节,4.5,0.8,-4.5,0.8,199.5,0.83,199.5,0.83,199.5,1.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,17.0,1.0,1.0,7.0,20.0,0,,21077.0,0.0,0.0
114,第1节,4.5,0.87,-3.5,0.8,199.5,0.83,199.5,0.83,-3.5,1.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,17.0,1.0,1.0,7.0,20.0,0,,21077.0,0.0,0.0
