,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
48,4.0,10.5,0.8695652173913043,-10.5,0.8,239.5,0.8333333333333334,239.5,0.8333333333333334,12.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,35.0,1.0,20181026020352.0,11077.0,17.0,0.004
49,4.0,11.5,0.7142857142857143,-11.5,1.0,239.5,0.8,239.5,0.8695652173913043,11.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,16.0,1.0,20181026020408.0,11077.0,17.0,0.004
50,4.0,12.5,0.7692307692307693,-12.5,0.9090909090909091,238.5,0.9090909090909091,238.5,0.7692307692307693,11.0,^,,10.0,11.0,37.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,105,0,1,3.0,12.0,1.0,20181026020413.0,11074^21077,17.0,0.004
51,4.0,12.5,0.7692307692307693,-12.5,0.9090909090909091,238.5,0.7692307692307693,238.5,0.9090909090909091,10.0,,,10.0,11.0,37.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,105,0,1,3.0,3.0,1.0,20181026020422.0,21077.0,17.0,0.004
52,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,240.5,0.7142857142857143,240.5,1.0,11.0,^,,10.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,107,0,1,3.0,1.0,1.0,20181026020423.0,21074^11077,17.0,0.004
53,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,240.5,0.7142857142857143,240.5,1.0,11.0,,,10.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,107,0,1,3.0,1.0,1.0,20181026020424.0,11077.0,17.0,0.004
54,4.0,11.5,0.8,-11.5,0.8695652173913043,240.5,0.7142857142857143,240.5,1.0,9.0,,,10.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,107,0,1,2.0,52.0,1.0,20181026020432.0,11077.0,17.0,0.004
55,4.0,11.5,0.8,-11.5,0.8695652173913043,240.5,0.7142857142857143,240.5,1.0,9.0,,,10.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,107,0,1,2.0,44.0,1.0,20181026020441.0,11077.0,17.0,0.004
56,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,9.0,,,10.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,107,0,1,2.0,38.0,1.0,20181026020445.0,21077.0,17.0,0.004
57,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,9.0,,,10.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,119,107,0,1,2.0,38.0,1.0,20181026020447.0,11077.0,17.0,0.004
