,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
51,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.8,,2.0,3.0,0.0,0.0,1,8.0,1~GD,55.0,1.0,20180518140335.0,11077.0,,0.0,0.0
52,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,55.0,1.0,20180518140335.0,11077.0,,0.0,0.0
53,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,49.0,1.0,20180518140341.0,11077.0,,0.0,0.0
54,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,49.0,1.0,20180518140341.0,11095.0,,0.0,0.0
55,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,49.0,1.0,20180518140341.0,21077.0,,0.0,0.0
56,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140347.0,21077.0,,0.0,0.0
57,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140347.0,21077.0,,0.0,0.0
58,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,21077.0,,0.0,0.0
59,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.8,^,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,11086^21077,,0.0,0.0
60,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.87,^,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,11086^21077,,0.0,0.0
61,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,^,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,11086^21077,,0.0,0.0
62,,,,,6.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,6.5,,0.0,^,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,11086^21077,,0.0,0.0
63,,,,,-6.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-6.5,,0.87,^,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,11086^21077,,0.0,0.0
64,,,,,-6.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-6.5,,0.8,1:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140348.0,21078.0,,0.0,0.0
65,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,1:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140413.0,21078.0,,0.0,0.0
66,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,1:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140413.0,21078.0,,0.0,0.0
67,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,1:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140413.0,21078.0,,0.0,0.0
68,,,,,7.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,7.5,,0.0,1:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140413.0,21078.0,,0.0,0.0
69,,,,,-7.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-7.5,,0.83,1:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140413.0,21078.0,,0.0,0.0
70,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.83,1:2^2:2,2.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140413.0,21080^21078,,0.0,0.0
71,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.83,1:2^2:2,3.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180518140431.0,21080^21078,,0.0,0.0
72,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.83,2:2^,3.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,1.0,20180518140431.0,21079^11077,,0.0,0.0
73,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,3.0,0.0,0.0,1,8.0,1~GD,43.0,1.0,20180518140431.0,11077.0,,0.0,0.0
74,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,3.0,0.0,0.0,1,8.0,1~GD,35.0,1.0,20180518140439.0,11077.0,,0.0,0.0
75,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,3.0,3.0,0.0,0.0,1,8.0,1~GD,35.0,1.0,20180518140439.0,11077.0,,0.0,0.0
76,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,3.0,3.0,0.0,0.0,1,8.0,1~GD,27.0,1.0,20180518140447.0,11077.0,,0.0,0.0
77,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.83,,3.0,3.0,0.0,0.0,1,8.0,1~GD,27.0,1.0,20180518140447.0,11077.0,,0.0,0.0
78,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.83,,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140448.0,11077.0,,0.0,0.0
79,,,,,8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,8.5,,0.8,,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140448.0,11077.0,,0.0,0.0
80,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140448.0,11077.0,,0.0,0.0
81,,,,,-8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-8.5,,0.87,,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140448.0,11077.0,,0.0,0.0
82,,,,,-8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-8.5,,0.0,^,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140448.0,11074^21077,,0.0,0.0
