,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KI,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
42,,,,第1节,143.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,143.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,28.0,0,,11077.0,0.66,1.1
43,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,28.0,0,,11077.0,0.66,1.1
44,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,1.1,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,28.0,0,,11077.0,0.66,1.1
45,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.66,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,28.0,0,,11077.0,0.66,1.1
46,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.66,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,11.0,0,,11077.0,0.66,1.1
47,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.66,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,11.0,0,,11077.0,0.66,1.1
48,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.66,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,10.0,0,,11077.0,0.66,1.1
49,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,1.2,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,10.0,0,,21077.0,0.66,1.1
50,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,12.0,0,,21077.0,0.66,1.1
51,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,12.0,0,,11077.0,0.66,1.1
52,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
53,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
54,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,1.1,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
55,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.66,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
56,,,,第1节,1.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,1.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
57,,,,第1节,-1.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,-1.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
58,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.66,1.1
59,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,11074.0,0.66,1.1
60,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,7.0,GD,51.0,0,,21077.0,0.66,1.1
61,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,47.0,0,,21077.0,0.66,1.1
62,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,47.0,0,,21077.0,0.66,1.1
63,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.66,1.1
64,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,1.0,1.0,0.77,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.66,1.1
65,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.66,1.1
66,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,32.0,0,,21077.0,0.66,1.1
67,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,32.0,0,,11077.0,0.66,1.1
68,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,26.0,0,,11077.0,0.66,1.1
69,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,26.0,0,,11077.0,0.66,1.1
70,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
71,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,21086.0,0.66,1.1
72,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
73,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
74,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
75,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
76,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
77,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
78,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
79,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
80,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
