,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
46,,,3.0,5.5,0.8333333333333334,-5.5,0.9090909090909091,235.5,0.8333333333333334,235.5,0.9090909090909091,76.0,,^,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,8.0,1.0,20181113021723.0,11074^21077,1.95,0.4166666666666667
47,,,3.0,5.5,0.8333333333333334,-5.5,0.9090909090909091,235.5,0.8333333333333334,235.5,0.9090909090909091,76.0,,,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,8.0,1.0,20181113021724.0,21077.0,1.95,0.4166666666666667
48,,,3.0,5.5,0.8333333333333334,-5.5,0.9090909090909091,234.5,0.9090909090909091,234.5,0.8333333333333334,76.0,,,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,2.0,1.0,20181113021730.0,21077.0,1.7,0.47619047619047616
49,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,0.0,0.0,20181113021734.0,21077.0,1.7,0.47619047619047616
50,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,0.0,0.0,20181113021735.0,21094.0,1.7,0.47619047619047616
51,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,0.0,0.0,20181113021736.0,11077.0,1.7,0.47619047619047616
52,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,,1.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,94.0,83.0,0,1,0.0,0.0,0.0,20181113021741.0,11077.0,1.7,0.47619047619047616
53,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,4.0,3.0,0.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,94.0,83.0,0,1,12.0,0.0,0.0,20181113021742.0,1082.0,1.7,0.47619047619047616
54,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,4.0,3.0,0.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,94.0,83.0,0,1,12.0,0.0,0.0,20181113021742.0,1082.0,3.3,0.2222222222222222
55,,,3.0,5.5,0.8695652173913043,-5.5,0.8695652173913043,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,4.0,3.0,0.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,94.0,83.0,0,1,12.0,0.0,0.0,20181113021742.0,1082.0,2.6,0.29411764705882354
