,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
119,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,47.0,1.0,20180627165534.0,11077.0
120,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,45.0,0.0,20180627165535.0,11077.0
121,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,45.0,0.0,20180627165535.0,11077.0
122,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,44.0,1.0,20180627165626.0,11077.0
123,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,44.0,1.0,20180627165626.0,11077.0
124,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
125,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,1.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
126,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,1.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
127,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,1.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
128,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,4.0,1.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
129,44.0,5.0,,第1节,1.5,0.91,1.5,0.77,151.5,0.83,151.5,0.83,1.5,1.0,,12.0,4.0,0.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
130,44.0,5.0,,第1节,-1.5,0.91,1.5,0.77,151.5,0.83,147.5,0.8,-1.5,1.0,,12.0,4.0,0.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
131,44.0,5.0,,第1节,-1.5,0.91,1.5,0.77,147.5,0.87,147.5,0.8,147.5,1.0,,12.0,4.0,0.0,1,6.0,GD,30.0,0.0,20180627165640.0,11077.0
132,44.0,5.0,,第1节,-1.5,0.91,1.5,0.77,147.5,0.87,147.5,0.8,147.5,1.0,,12.0,4.0,0.0,1,6.0,GD,30.0,1.0,20180627165653.0,11077.0
133,44.0,5.0,,第1节,-1.5,0.91,1.5,0.77,147.5,0.83,147.5,0.83,147.5,1.0,,12.0,4.0,0.0,1,6.0,GD,30.0,1.0,20180627165653.0,11077.0
