,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
67,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,43.0,1.0,20181107151334.0,11077.0
68,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,42.0,1.0,20181107151335.0,11077.0
69,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,33.0,1.0,20181107151343.0,11077.0
70,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,^,85.0,89.0,0,1,1.0,32.0,1.0,20181107151345.0,11074^21077
71,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,,85.0,89.0,0,1,1.0,30.0,1.0,20181107151346.0,21077.0
72,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,,85.0,89.0,0,1,1.0,21.0,1.0,20181107151355.0,21077.0
73,,,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,2.0,5.0,,85.0,89.0,0,1,1.0,13.0,1.0,20181107151403.0,21077.0
74,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,,85.0,89.0,0,1,1.0,9.0,1.0,20181107151408.0,11077.0
75,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,^,87.0,89.0,0,1,1.0,3.0,1.0,20181107151414.0,11074^21077
76,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,87.0,89.0,0,1,1.0,2.0,1.0,20181107151415.0,21077.0
77,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,87.0,89.0,0,1,0.0,53.0,1.0,20181107151423.0,21077.0
