,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
35,,,4.0,10.5,1.0,-10.5,0.7142857142857143,175.5,0.8695652173913043,175.5,0.8,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,3.0,57.0,1.0,20180924174032.0,11077.0,12.0,0.0125
36,,,4.0,10.5,1.0,-10.5,0.7142857142857143,175.5,0.8333333333333334,175.5,0.8333333333333334,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,3.0,56.0,1.0,20180924174033.0,11094.0,12.0,0.0125
37,,,4.0,9.5,1.0,-9.5,0.7142857142857143,175.5,0.8333333333333334,175.5,0.8333333333333334,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,3.0,56.0,1.0,20180924174034.0,21077.0,10.0,0.02
38,,,4.0,9.5,1.0,-9.5,0.7142857142857143,175.5,0.8333333333333334,175.5,0.8333333333333334,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,3.0,55.0,0.0,20180924174034.0,21077.0,10.0,0.02
39,,,4.0,9.5,1.0,-9.5,0.7142857142857143,175.5,0.8333333333333334,175.5,0.8333333333333334,,^,1.0,6,,20.0,29.0,16.0,3.0,1.0,5.0,6.0,82.9,,85.0,74.0,0,1,3.0,55.0,0.0,20180924174045.0,11086^21077,10.0,0.02
40,,,4.0,9.5,0.8695652173913043,-9.5,0.8,176.5,0.9090909090909091,176.5,0.7692307692307693,,1:2,1.0,6,,20.0,29.0,16.0,3.0,1.0,5.0,6.0,82.9,,85.0,74.0,0,1,3.0,55.0,0.0,20180924174046.0,21078.0,9.5,0.025
41,,,4.0,10.5,0.8,-10.5,0.8695652173913043,176.5,0.7692307692307693,176.5,0.9090909090909091,,1:2^2:2,1.0,6,,20.0,29.0,16.0,3.0,1.0,5.0,6.0,82.9,76.2,85.0,74.0,0,1,3.0,55.0,0.0,20180924174104.0,21080^21078,10.5,0.016666666666666666
42,,,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.8333333333333334,176.5,0.8333333333333334,,2:2^,1.0,6,,20.0,29.0,17.0,3.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,55.0,0.0,20180924174115.0,21079^11077,10.0,0.02
43,,,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.8333333333333334,176.5,0.8333333333333334,,2:2^,1.0,6,,20.0,29.0,17.0,3.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,55.0,1.0,20180924174115.0,21079^11077,10.0,0.02
44,,,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.8333333333333334,176.5,0.8333333333333334,,2:2^,1.0,6,,20.0,29.0,17.0,3.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,55.0,0.0,20180924174117.0,21079^11077,10.0,0.02
45,,,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.8333333333333334,176.5,0.8333333333333334,,2:2^,1.0,6,,20.0,29.0,17.0,3.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,53.0,0.0,20180924174122.0,21079^11077,10.0,0.02
46,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.8695652173913043,176.5,0.8,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,57.0,0.0,20180924174126.0,11081.0,10.0,0.02
47,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.8695652173913043,176.5,0.8,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,57.0,1.0,20180924174126.0,11081.0,10.0,0.02
48,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.7692307692307693,176.5,0.9090909090909091,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,50.0,0.0,20180924174249.0,11081.0,10.0,0.02
49,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,176.5,0.7692307692307693,176.5,0.9090909090909091,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,50.0,1.0,20180924174307.0,11081.0,10.0,0.02
50,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,175.5,0.8333333333333334,175.5,0.8333333333333334,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,41.0,1.0,20180924174315.0,11081.0,10.5,0.016666666666666666
51,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,174.5,1.0,174.5,0.7142857142857143,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,33.0,1.0,20180924174323.0,11095.0,11.0,0.015151515151515152
52,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,174.5,1.0,174.5,0.7142857142857143,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,33.0,0.0,20180924174323.0,11095.0,11.0,0.015151515151515152
53,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,174.5,1.0,174.5,0.7142857142857143,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,33.0,1.0,20180924174341.0,11095.0,11.0,0.015151515151515152
54,44.0,5.0,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,174.5,0.8,174.5,0.8695652173913043,,2:2^,1.0,6,,20.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,75.0,0,1,3.0,24.0,1.0,20180924174349.0,11095.0,11.0,0.015151515151515152
55,44.0,5.0,4.0,8.5,0.7692307692307693,-8.5,0.9090909090909091,176.5,0.7142857142857143,176.5,1.0,,^,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,3.0,18.0,1.0,20180924174356.0,21074^11077,8.5,0.03571428571428571
56,44.0,5.0,4.0,8.5,0.7692307692307693,-8.5,0.9090909090909091,175.5,0.8333333333333334,175.5,0.8333333333333334,,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,3.0,9.0,1.0,20180924174404.0,11077.0,8.5,0.03571428571428571
57,44.0,5.0,4.0,8.5,0.7692307692307693,-8.5,0.9090909090909091,174.5,0.9090909090909091,174.5,0.7692307692307693,,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,3.0,1.0,1.0,20180924174413.0,11077.0,9.0,0.030303030303030304
58,44.0,5.0,4.0,8.5,0.7692307692307693,-8.5,0.9090909090909091,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,59.0,1.0,20180924174415.0,11094.0,9.0,0.030303030303030304
59,44.0,5.0,4.0,8.5,0.7692307692307693,-8.5,0.9090909090909091,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,58.0,0.0,20180924174415.0,11094.0,9.0,0.030303030303030304
60,44.0,5.0,4.0,8.5,0.7692307692307693,-8.5,0.9090909090909091,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,58.0,1.0,20180924174424.0,11094.0,9.0,0.030303030303030304
61,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,49.0,1.0,20180924174432.0,11094.0,9.0,0.030303030303030304
62,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,48.0,1.0,20180924174436.0,11077.0,9.0,0.030303030303030304
63,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,39.0,1.0,20180924174444.0,11077.0,9.5,0.025
64,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,31.0,1.0,20180924174452.0,11077.0,9.5,0.025
65,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,25.0,1.0,20180924174457.0,11095.0,10.0,0.02
