,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
83,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,8.0,0,,21077.0,0.0,0.0,
84,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,3.0,0,,21077.0,0.0,0.0,
85,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,3.0,0,,21094.0,0.0,0.0,"0.33,0.32"
86,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,49.0,0,,11077.0,0.0,0.0,
87,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,49.0,0,,11094.0,0.0,0.0,"0.68,0.52"
88,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,24.0,0,,21077.0,0.0,0.0,
89,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,24.0,0,,11077.0,0.0,0.0,
90,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,10.0,0,,11077.0,0.0,0.0,
91,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,10.0,0,,21086.0,0.0,0.0,
92,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,10.0,0,,11077.0,0.0,0.0,
