,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
82,,,,,2.5,0.8,-2.5,0.87,141.5,0.8,141.5,0.87,141.5,,0.63,^1:2^2:2,43.0,37.0,0.0,1,5.0,11.0,0.0,20180721013413.0,21077^21079^21078,0.77,0.91
83,,,,,1.5,0.91,-1.5,0.87,141.5,0.8,141.5,0.87,1.5,,0.63,^1:2^2:2,43.0,37.0,0.0,1,5.0,11.0,0.0,20180721013413.0,21077^21079^21078,0.77,0.91
84,,,,,1.5,0.91,-1.5,0.77,141.5,0.8,141.5,0.87,-1.5,,0.63,2:2^,43.0,37.0,0.0,1,5.0,11.0,0.0,20180721013413.0,21079^11077,0.77,0.91
85,,,,,1.5,0.91,-1.5,0.77,141.5,0.8,141.5,0.87,-1.5,,0.63,,43.0,37.0,0.0,1,5.0,11.0,1.0,20180721013417.0,11077.0,0.77,0.91
86,,,,,1.5,0.91,-1.5,0.77,140.5,0.83,141.5,0.87,140.5,,0.63,,43.0,37.0,0.0,1,5.0,11.0,1.0,20180721013417.0,11077.0,0.77,0.91
87,,,,,1.5,0.91,-1.5,0.77,140.5,0.83,140.5,0.83,140.5,,0.63,,43.0,37.0,0.0,1,5.0,3.0,1.0,20180721013425.0,11077.0,0.77,0.91
88,,,,,2.5,0.77,-2.5,0.77,140.5,0.83,140.5,0.83,2.5,,0.63,,43.0,37.0,0.0,1,5.0,3.0,1.0,20180721013425.0,11077.0,0.77,0.91
89,,,,,2.5,0.77,-2.5,0.91,140.5,0.83,140.5,0.83,-2.5,,0.63,,43.0,37.0,0.0,1,5.0,1.0,0.0,20180721013426.0,11077.0,0.77,0.91
90,,,,,2.5,0.77,-2.5,0.91,140.5,0.83,140.5,0.83,-2.5,,0.91,,43.0,37.0,0.0,1,5.0,1.0,0.0,20180721013426.0,11077.0,0.77,0.91
91,,,,,2.5,0.77,-2.5,0.91,140.5,0.83,140.5,0.83,-2.5,,0.77,,43.0,37.0,0.0,1,5.0,1.0,0.0,20180721013431.0,11077.0,0.77,0.91
