,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
72,,18.5,0.9090909090909091,-18.5,0.7692307692307693,113.5,0.8333333333333334,113.5,0.8333333333333334,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,10.0,1.0,20180913115304.0,21077.0,0.004,17.0,
73,,19.5,0.8695652173913043,-19.5,0.8,113.5,0.7692307692307693,113.5,0.9090909090909091,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,5.0,1.0,20180913115310.0,11077.0,0.004,17.0,
74,,19.5,0.8695652173913043,-19.5,0.8,113.5,0.7692307692307693,113.5,0.9090909090909091,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,5.0,1.0,20180913115310.0,11077.0,0.004,17.0,
75,,19.5,0.8695652173913043,-19.5,0.8,112.5,0.9090909090909091,112.5,0.7692307692307693,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,4.0,56.0,1.0,20180913115318.0,11077.0,0.004,17.0,
76,,19.5,0.8695652173913043,-19.5,0.8,112.5,0.8,112.5,0.8695652173913043,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,4.0,48.0,1.0,20180913115326.0,11077.0,0.004,17.0,
77,,22.5,0.8333333333333334,-22.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,2.0,,,5.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,40,0.0,1,4.0,46.0,1.0,20180913115329.0,11075.0,0.004,17.0,
78,,22.5,0.8333333333333334,-22.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,2.0,,,5.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,40,0.0,1,4.0,46.0,1.0,20180913115329.0,11075.0,0.004,17.0,
79,,21.5,0.8333333333333334,-21.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,2.0,,,5.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,40,0.0,1,4.0,46.0,1.0,20180913115329.0,11075.0,0.004,17.0,
80,,21.5,0.8333333333333334,-21.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,2.0,,,5.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,40,0.0,1,4.0,43.0,1.0,20180913115332.0,21077.0,0.004,17.0,
81,,21.5,0.8333333333333334,-21.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,2.0,,,5.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,40,0.0,1,4.0,34.0,1.0,20180913115340.0,21077.0,0.004,17.0,
82,,21.5,0.8333333333333334,-21.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,2.0,,,5.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,40,0.0,1,4.0,26.0,1.0,20180913115348.0,21077.0,0.004,17.0,
83,,18.5,0.8333333333333334,-18.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,26.0,1.0,20180913115349.0,21075.0,0.004,17.0,
84,,18.5,0.8333333333333334,-18.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,26.0,1.0,20180913115349.0,21075.0,0.004,17.0,
85,,19.5,0.8333333333333334,-19.5,0.8333333333333334,112.5,0.8,112.5,0.8695652173913043,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,26.0,1.0,20180913115349.0,11077.0,0.004,17.0,
86,,19.5,0.8333333333333334,-19.5,0.8333333333333334,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,16.0,1.0,20180913115358.0,11077.0,0.004,17.0,
87,,19.5,0.8,-19.5,0.8695652173913043,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,16.0,1.0,20180913115358.0,11077.0,0.004,17.0,
88,,19.5,0.8,-19.5,0.8695652173913043,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,16.0,1.0,20180913115358.0,11077.0,0.004,17.0,
89,,19.5,0.8,-19.5,0.8695652173913043,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,9.0,0.0,20180913115358.0,11077.0,0.004,17.0,
90,,18.5,0.8,-18.5,0.8695652173913043,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,9.0,0.0,20180913115417.0,11077.0,0.004,17.0,
91,,18.5,0.8,-18.5,0.8695652173913043,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,9.0,0.0,20180913115417.0,11077.0,0.004,17.0,
92,,18.5,0.8,-18.5,0.8695652173913043,116.5,1.0,116.5,0.7142857142857143,3.0,,,5.0,4.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,60,43,0.0,1,4.0,9.0,1.0,20180913115428.0,21077.0,0.004,17.0,
