,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
73,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,2.0,32.0,0.0,20181027160846.0,11077.0
74,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,2.0,23.0,0.0,20181027160854.0,11077.0
75,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,16.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,80,0,1,2.0,22.0,0.0,20181027160856.0,11074^21077
76,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,16.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,80,0,1,2.0,21.0,0.0,20181027160856.0,11074^21077
77,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,16.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,80,0,1,2.0,21.0,1.0,20181027160901.0,11074^21077
78,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,16.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,80,0,1,2.0,21.0,1.0,20181027160902.0,21077.0
79,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,16.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,80,0,1,2.0,17.0,1.0,20181027160903.0,21077.0
80,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,16.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,80,0,1,2.0,8.0,1.0,20181027160912.0,21077.0
81,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,^,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,2.0,0.0,1.0,20181027160919.0,21074^11077
82,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,^,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,59.0,0.0,20181027160920.0,21074^11077
83,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,59.0,1.0,20181027160923.0,11077.0
84,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,50.0,1.0,20181027160932.0,11077.0
85,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,45.0,1.0,20181027160938.0,21077.0
86,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,37.0,1.0,20181027160944.0,21077.0
87,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,28.0,1.0,20181027160952.0,21077.0
88,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,18.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,81,82,0,1,1.0,26.0,1.0,20181027160954.0,11077.0
89,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,1.0,21.0,1.0,20181027160959.0,11074^21077
90,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,1.0,21.0,0.0,20181027161000.0,11074^21077
91,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,1.0,21.0,1.0,20181027161007.0,11074^21077
92,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,1.0,12.0,1.0,20181027161015.0,21077.0
93,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,1.0,5.0,1.0,20181027161023.0,11077.0
94,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,56.0,1.0,20181027161031.0,11077.0
95,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,48.0,1.0,20181027161039.0,11077.0
96,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,47.0,0.0,20181027161040.0,11077.0
97,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,47.0,0.0,20181027161042.0,11077.0
98,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,47.0,0.0,20181027161053.0,11077.0
99,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^1:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,10.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,47.0,0.0,20181027161054.0,21086^11078
100,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^1:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,10.0,6,7,84.2,76.5,100.0,83,82,0,1,0.0,45.0,0.0,20181027161116.0,21086^11078
101,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,1:2^2:2,6,10,17.0,15,16,32.0,26,15,1.0,2,3,10.0,6,7,80.0,76.5,100.0,84,82,0,1,0.0,45.0,0.0,20181027161127.0,11079^11078
102,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,2:2,6,10,17.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,82,0,1,0.0,45.0,0.0,20181027161145.0,11079.0
103,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,2:2,6,10,17.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,82,0,1,0.0,45.0,1.0,20181027161204.0,11079.0
104,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,,6,10,17.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,82,0,1,0.0,36.0,1.0,20181027161212.0,21077.0
105,,,OT 1,Overtime 1,2.5,0.0,-2.5,0.0,2.0,5.0,,6,10,17.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,82,0,1,0.0,28.0,1.0,20181027161221.0,21077.0
106,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,19.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,84,0,1,0.0,23.0,1.0,20181027161225.0,21074^11077
107,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^,6,10,19.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,84,0,1,0.0,22.0,0.0,20181027161226.0,21074^11077
108,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,19.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,84,0,1,0.0,22.0,1.0,20181027161235.0,11077.0
109,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,,6,10,19.0,15,16,33.0,26,15,1.0,2,3,10.0,6,7,80.5,76.5,100.0,85,84,0,1,0.0,22.0,1.0,20181027161238.0,21086.0
110,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,2.0,5.0,^1:2,6,10,19.0,15,16,33.0,26,15,1.0,2,3,11.0,6,7,80.5,76.5,100.0,85,84,0,1,0.0,22.0,1.0,20181027161238.0,21086^11078
