,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
56,2.0,-8.5,0.8,8.5,0.9523809523809523,140.5,0.7692307692307693,140.5,1.0,52.0,1:2,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,2.0,100.0,72.2,51.0,61,0,1,6.0,51.0,0.0,20181110020625.0,11078.0,0.07142857142857142,8.25
57,2.0,-8.5,0.8695652173913043,8.5,0.8695652173913043,140.5,0.7692307692307693,140.5,1.0,52.0,1:2^2:2,9.0,6.0,11.0,15.0,3.0,13.0,3,4,3.0,2.0,100.0,72.2,52.0,61,0,1,6.0,51.0,0.0,20181110020638.0,11079^11078,0.07142857142857142,8.25
58,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8695652173913043,52.0,2:2^,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,51.0,0.0,20181110020701.0,11079^21077,0.08333333333333333,7.25
59,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8695652173913043,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,51.0,1.0,20181110020701.0,21077.0,0.08333333333333333,7.25
60,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8695652173913043,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,50.0,0.0,20181110020702.0,21077.0,0.08333333333333333,7.25
61,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8695652173913043,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,50.0,1.0,20181110020705.0,21077.0,0.08333333333333333,7.25
62,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,140.5,1.0,140.5,0.7692307692307693,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,41.0,1.0,20181110020714.0,21077.0,0.08333333333333333,7.25
63,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,140.5,0.8695652173913043,140.5,0.8695652173913043,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,32.0,1.0,20181110020722.0,21077.0,0.08333333333333333,7.25
64,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.9090909090909091,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,31.0,0.0,20181110020724.0,21077.0,0.07142857142857142,8.25
65,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.9090909090909091,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,31.0,0.0,20181110020729.0,11077.0,0.10526315789473684,6.0
