,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
68,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,59.0,1.0,20181113023047.0,11077.0
69,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,50.0,1.0,20181113023056.0,11077.0
70,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,42.0,1.0,20181113023104.0,11077.0
71,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,39.0,1.0,20181113023107.0,11095.0
72,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,30.0,1.0,20181113023115.0,11077.0
73,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,22.0,1.0,20181113023124.0,11077.0
74,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,15.0,0.0,20181113023131.0,11077.0
75,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,^,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,10.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,15.0,0.0,20181113023133.0,21086^11077
76,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,1:2,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,10.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,15.0,0.0,20181113023134.0,11078.0
77,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,1:2^2:2,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,10.0,5,9,73.3,75.9,50.0,,63,63,0,1,3.0,15.0,0.0,20181113023152.0,11080^11078
78,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,2:2^,1.0,7.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,3.0,15.0,0.0,20181113023209.0,11079^21077
79,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,3.0,15.0,1.0,20181113023209.0,21077.0
80,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,3.0,6.0,1.0,20181113023218.0,21077.0
81,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,58.0,1.0,20181113023226.0,21077.0
82,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,58.0,1.0,20181113023226.0,11077.0
83,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,43.0,1.0,20181113023241.0,11077.0
84,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,35.0,1.0,20181113023249.0,11077.0
85,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,35.0,1.0,20181113023256.0,21077.0
86,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,20.0,1.0,20181113023304.0,21077.0
87,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,12.0,1.0,20181113023312.0,21077.0
88,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,4.0,1.0,20181113023320.0,21077.0
89,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,10.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,0.0,0.0,20181113023324.0,21077.0
90,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,^,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,9.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,0.0,0.0,20181113023326.0,11086^21077
91,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,3.0,5.0,1:2,1.0,5.0,6,4,10.0,9,16,23.0,22,13,2.0,4,3,9.0,5,9,74.2,75.9,50.0,,64,63,0,1,2.0,0.0,0.0,20181113023327.0,21078.0
92,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,3.0,5.0,1:2^2:2,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,54.5,75.9,50.0,,66,67,0,1,2.0,0.0,0.0,20181113023355.0,21079^21078
93,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,2:2^,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,2.0,0.0,1.0,20181113023418.0,21080^11077
94,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,2:2^,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,2.0,0.0,1.0,20181113023419.0,21080^11077
