,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
80,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,7.0,1.0,20180622082733.0,21077.0
81,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,7.0,GD,7.0,1.0,20180622082733.0,21074.0
82,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,6.0,GD,56.0,1.0,20180622082742.0,11077.0
83,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,56.0,1.0,20180622082742.0,11077.0
84,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,55.0,1.0,20180622082744.0,11077.0
85,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,55.0,0.0,20180622082744.0,11077.0
86,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,GD,36.0,0.0,20180622082802.0,11077.0
87,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,GD,36.0,0.0,20180622082802.0,11077.0
88,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,36.0,0.0,20180622082802.0,11077.0
89,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,36.0,1.0,20180622082811.0,11077.0
90,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,36.0,1.0,20180622082811.0,11077.0
91,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,GD,35.0,1.0,20180622082812.0,11077.0
