,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
57,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,52.0,0.0,20181018152945.0,21077.0
58,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,52.0,1.0,20181018152952.0,21077.0
59,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,54.0,1.0,20181018152952.0,21077.0
60,4.0,43.5,0.0,-43.5,0.0,1.0,,79.0,36.0,0,1,0.0,51.0,1.0,20181018152956.0,11077.0
61,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,45.0,1.0,20181018153002.0,21077.0
62,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,44.0,1.0,20181018153002.0,21077.0
63,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,37.0,0.0,20181018153010.0,21077.0
64,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,37.0,1.0,20181018153017.0,21077.0
65,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,36.0,1.0,20181018153017.0,21077.0
66,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,36.0,1.0,20181018153018.0,21077.0
67,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,27.0,1.0,20181018153024.0,21077.0
68,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,26.0,1.0,20181018153024.0,21077.0
69,4.0,43.5,0.0,-43.5,0.0,1.0,,79.0,36.0,0,1,0.0,22.0,1.0,20181018153029.0,11077.0
70,4.0,43.5,0.0,-43.5,0.0,1.0,,79.0,36.0,0,1,0.0,21.0,1.0,20181018153029.0,11077.0
71,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,18.0,1.0,20181018153033.0,21077.0
72,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,9.0,1.0,20181018153042.0,21077.0
