,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
50,,,1.0,,-36.5,0.8,36.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8,1.0,12.0,,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,56.0,1.0,20180916154406.0,21077.0
51,,,1.0,,-36.5,0.8333333333333334,36.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,15.0,,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,47.0,1.0,20180916154414.0,11077.0
52,,,1.0,,-36.5,0.8333333333333334,36.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,1.0,15.0,,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,39.0,1.0,20180916154422.0,11077.0
53,,,1.0,,-36.5,0.8333333333333334,36.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,1.0,12.0,,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,38.0,1.0,20180916154423.0,21077.0
54,,,1.0,,-36.5,0.8333333333333334,36.5,0.8333333333333334,145.5,0.8,145.5,0.8695652173913043,1.0,12.0,,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,31.0,0.0,20180916154430.0,21077.0
55,,,1.0,,-36.5,0.8333333333333334,36.5,0.8333333333333334,145.5,0.8,145.5,0.8695652173913043,1.0,12.0,,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,31.0,0.0,20180916154433.0,11086.0
56,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,1.0,12.0,1:2,,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,5,4.0,3.0,100.0,50.0,9,17,0,1,3.0,31.0,0.0,20180916154441.0,21078.0
57,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,146.5,0.8695652173913043,146.5,0.8,1.0,12.0,1:2^2:2,,1.0,1.0,1.0,2.0,6.0,2.0,3.0,4.0,5,5.0,3.0,100.0,60.0,9,18,0,1,3.0,31.0,0.0,20180916154457.0,21079^21078
58,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,12.0,2:2,,1.0,1.0,1.0,2.0,6.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,18,0,1,3.0,31.0,1.0,20180916154508.0,21080.0
59,,,1.0,,-37.5,0.8695652173913043,37.5,0.8,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,12.0,2:2,,1.0,1.0,1.0,2.0,6.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,18,0,1,3.0,31.0,1.0,20180916154510.0,21080.0
60,,,1.0,,-37.5,0.8695652173913043,37.5,0.8,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,12.0,,,1.0,1.0,1.0,2.0,6.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,18,0,1,3.0,31.0,1.0,20180916154510.0,11077.0
61,,,1.0,,-38.5,0.8695652173913043,38.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,7.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,20,0,1,3.0,16.0,1.0,20180916154525.0,21074.0
62,,,1.0,,-38.5,0.8695652173913043,38.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,7.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,20,0,1,3.0,11.0,1.0,20180916154530.0,11077.0
63,,,1.0,,-38.5,0.8695652173913043,38.5,0.8,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,7.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,20,0,1,3.0,2.0,1.0,20180916154538.0,11077.0
64,,,1.0,,-38.5,0.8695652173913043,38.5,0.8,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,7.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,20,0,1,2.0,54.0,1.0,20180916154546.0,11077.0
65,,,1.0,,-38.5,0.8695652173913043,38.5,0.8,145.5,0.8695652173913043,145.5,0.8,1.0,10.0,,,1.0,1.0,1.0,2.0,7.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,20,0,1,2.0,52.0,1.0,20180916154549.0,21077.0
66,,,1.0,,-40.5,0.8695652173913043,40.5,0.8,148.5,0.8,148.5,0.8695652173913043,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,47.0,1.0,20180916154553.0,21074.0
67,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,44.0,1.0,20180916154557.0,11077.0
68,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,40.0,1.0,20180916154559.0,11077.0
69,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,146.5,0.8695652173913043,146.5,0.8,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,31.0,1.0,20180916154607.0,11077.0
70,,,1.0,,-39.5,0.8,39.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,27.0,1.0,20180916154612.0,21077.0
71,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,18.0,1.0,20180916154620.0,21077.0
72,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,17.0,1.0,20180916154622.0,11077.0
73,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,14.0,0.0,20180916154624.0,11077.0
74,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,1.0,10.0,,,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,3.0,100.0,50.0,9,22,0,1,2.0,14.0,0.0,20180916154627.0,21086.0
