,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
117,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
118,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
119,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
120,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
121,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
122,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
123,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
124,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
125,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
126,4.0,-17.5,0.0,17.5,0.0,1.0,,6,9,23.0,20,22,4,5,3,1,2,2,50.0,45.5,79.0,61,79,0,1,0.0,0.0,0.0,20180919093627.0,1084.0
