,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
96,,,,,144.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,144.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124459.0,11077.0
97,,,,,144.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,144.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124501.0,11077.0
98,,,,,145.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,145.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124501.0,21086.0
99,,,,,145.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,145.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124502.0,21086.0
100,,,,,-23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,-23.5,,0.8,,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124502.0,21086.0
101,,,,,23.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,23.5,,0.83,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124502.0,11078.0
102,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,30.0,38,30.0,0.0,1,0.0,5.0,0.0,20180525124502.0,11078.0
103,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,31.0,38,31.0,0.0,1,0.0,5.0,0.0,20180525124523.0,11078.0
104,,,,,146.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,146.5,,0.83,1:2,,,3,,7,7.0,6,,3,8.0,6,58.3,60.0,31.0,38,31.0,0.0,1,0.0,5.0,0.0,20180525124523.0,11078.0
105,,,,,147.5,-24.5,0.8,24.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.83,1:2^2:2,,,3,,7,8.0,6,,3,8.0,6,61.5,60.0,31.0,38,31.0,0.0,1,0.0,5.0,0.0,20180525124523.0,11079^11078
