,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
50,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,137.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,24.0,0,,11077.0,0.0,0.0
51,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,137.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
52,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,137.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11095.0,0.0,0.0
53,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,137.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,0.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,21077.0,0.0,0.0
54,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,137.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,21086.0,0.0,0.0
55,,,第4节,11.5,0.87,-10.5,0.8,137.5,0.83,137.5,0.83,-10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
56,,,第4节,10.5,0.87,-10.5,0.8,137.5,0.83,137.5,0.83,10.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
57,,,第4节,10.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,-11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,1.0,1,7.0,22.0,0,,11077.0,0.0,0.0
58,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,1.0,1,7.0,22.0,0,,11077.0,0.0,0.0
59,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,1.0,1,7.0,22.0,0,,11077.0,0.0,0.0
60,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,1.0,1,7.0,22.0,0,,11077.0,0.0,0.0
61,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,1.0,1,7.0,22.0,0,,11077.0,0.0,0.0
62,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,1.0,1,7.0,22.0,0,,11077.0,0.0,0.0
63,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
64,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
65,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
