,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
60,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.91,2:3,,0.0,1.0,1.0,6.0,1.0,33.3,3.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21078.0,,0.91,0.83
61,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,2:3,,0.0,1.0,2.0,6.0,1.0,50.0,3.0,4.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21079.0,,0.91,0.83
62,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,3:3,,0.0,1.0,2.0,6.0,1.0,50.0,4.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21078.0,,0.91,0.83
63,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.95,3:3,,0.0,1.0,2.0,6.0,1.0,50.0,4.0,6.0,0.0,1,9.0,GD,26.0,0.0,20180513204458.0,21078.0,,0.91,0.83
64,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,3:3,,0.0,1.0,2.0,6.0,1.0,50.0,4.0,6.0,0.0,1,9.0,GD,26.0,1.0,20180513204624.0,21078.0,,0.91,0.83
65,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.91,3:3,,0.0,1.0,2.0,6.0,1.0,40.0,4.0,6.0,0.0,1,9.0,GD,26.0,1.0,20180513204624.0,21080.0,,0.91,0.83
66,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,2.0,6.0,1.0,40.0,4.0,6.0,0.0,1,9.0,GD,26.0,1.0,20180513204624.0,11077.0,,0.91,0.83
67,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,26.0,1.0,20180513204624.0,21086.0,,0.91,0.83
68,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,26.0,1.0,20180513204624.0,11077.0,,0.91,0.83
69,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,16.0,0.0,20180513204624.0,11077.0,,0.91,0.83
70,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,1:2,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,16.0,0.0,20180513204624.0,11078.0,,0.91,0.83
