,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
119,,,,-19.5,0.0,19.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2^2:2,59.0,79.0,0,1,2.0,7.0,0.0,20180913154712.0,11079^11078,^
120,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,2:2^,59.0,79.0,0,1,2.0,7.0,1.0,20180913154726.0,11080^21077,^
121,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,2.0,7.0,1.0,20180913154728.0,21077.0,
122,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,2.0,6.0,1.0,20180913154728.0,21077.0,
123,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,2.0,1.0,0.0,20180913154733.0,21077.0,
124,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,2.0,1.0,0.0,20180913154734.0,21077.0,
125,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,2.0,1.0,1.0,20180913154752.0,21077.0,
126,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,1.0,56.0,1.0,20180913154755.0,21077.0,
127,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,1.0,55.0,1.0,20180913154756.0,21077.0,
128,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,1.0,52.0,1.0,20180913154756.0,21077.0,
