,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
75,44.0,5.0,,第2节,-38.5,0.83,38.5,0.83,137.5,0.83,137.5,0.83,137.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,0.0,6.0,29.0,1.0,20180622072207.0,11077.0
76,44.0,5.0,,第2节,-38.5,0.83,38.5,0.83,137.5,0.83,137.5,0.83,137.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,29.0,1.0,20180622072207.0,11077.0
77,44.0,5.0,,第2节,-38.5,0.87,39.5,0.8,137.5,0.83,137.5,0.83,39.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,29.0,1.0,20180622072207.0,11077.0
78,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,137.5,0.83,136.5,0.83,-39.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,29.0,1.0,20180622072207.0,11077.0
79,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,29.0,1.0,20180622072207.0,11077.0
80,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,21.0,1.0,20180622072215.0,11077.0
81,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,21.0,0.0,20180622072215.0,21077.0
82,44.0,5.0,,第2节,-39.5,0.87,39.5,0.8,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,17.0,0.0,20180622072219.0,21077.0
83,44.0,5.0,,第2节,-39.5,0.8,39.5,0.87,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,17.0,1.0,20180622072219.0,21077.0
84,44.0,5.0,,第2节,-39.5,0.8,39.5,0.87,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,17.0,1.0,20180622072233.0,21077.0
85,44.0,5.0,,第2节,-39.5,0.83,39.5,0.83,136.5,0.83,136.5,0.83,136.5,,,0.0,5.0,5.0,9.0,1.0,3.0,3.0,5,1.0,2.0,20.0,37.5,36.0,11.0,0.0,1.0,6.0,17.0,1.0,20180622072233.0,11077.0
