,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
92,44.0,5.0,,第1节,-1.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,-1.5,,0.91,,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21077.0,1.2,0.63
93,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.91,,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21077.0,1.2,0.63
94,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.83,1:2,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21078.0,1.2,0.63
95,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.83,1:2,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21078.0,1.2,0.63
96,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,1.0,1:2,1.0,0.0,5.0,1.0,5.0,5.0,100.0,16.0,10.0,0.0,1,0.0,46.0,0,,21078.0,1.2,0.63
97,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.71,1:2,1.0,0.0,5.0,1.0,5.0,5.0,50.0,16.0,10.0,0.0,1,0.0,46.0,0,,21080.0,1.2,0.63
98,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.71,2:2,1.0,0.0,5.0,1.0,5.0,5.0,50.0,16.0,17.0,0.0,1,0.0,46.0,0,,21078.0,1.2,0.63
99,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.71,2:2,1.0,0.0,5.0,2.0,5.0,5.0,66.7,16.0,17.0,0.0,1,0.0,46.0,0,,21079.0,1.2,0.63
100,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.91,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,16.0,17.0,0.0,1,0.0,46.0,0,,11077.0,1.2,0.63
101,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.77,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,46.0,0,,11077.0,1.2,0.63
102,44.0,5.0,,第1节,142.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,142.5,,0.77,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,36.0,0,,11077.0,1.2,0.63
103,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.77,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,36.0,0,,21077.0,1.2,0.63
104,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,1.0,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,36.0,0,,21077.0,1.2,0.63
105,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.71,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21077.0,1.2,0.63
106,44.0,5.0,,第1节,141.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,141.5,,0.71,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,11086.0,1.2,0.63
107,44.0,5.0,,第1节,140.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,140.5,,0.71,,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21077.0,1.2,0.63
108,44.0,5.0,,第1节,140.5,2.5,0.83,-2.5,0.83,144.5,0.83,144.5,0.83,140.5,,0.71,1:2,1.0,0.0,5.0,2.0,5.0,5.0,66.7,17.0,10.0,0.0,1,0.0,26.0,0,,21078.0,1.2,0.63
