,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
61,,,,第1节,-1.5,1.0,1.5,0.77,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,42.0,0,,11077.0,,0.87,0.87,
62,,,,第1节,-1.5,0.77,-1.5,1.0,157.5,0.87,157.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,42.0,0,,11077.0,,0.87,0.87,
63,,,,第1节,1.5,0.77,-1.5,1.0,157.5,0.87,156.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,42.0,0,,11077.0,,0.87,0.87,
64,,,,第1节,1.5,0.77,-1.5,1.0,156.5,0.87,156.5,0.87,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,42.0,0,,11077.0,,0.87,0.87,
65,,,,第1节,1.5,0.77,-1.5,1.0,156.5,0.87,156.5,0.87,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,42.0,0,,11095.0,,0.87,0.87,"0.88,0.37"
66,,,,第1节,1.5,0.77,-1.5,1.0,156.5,0.87,156.5,0.87,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,,0.87,0.87,
67,,,,第1节,1.5,1.0,1.5,0.77,156.5,0.87,156.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,,0.87,0.87,
68,,,,第1节,-1.5,1.0,1.5,0.77,156.5,0.87,155.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,,0.87,0.87,
69,,,,第1节,-1.5,1.0,1.5,0.77,155.5,0.87,155.5,0.87,155.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,,0.87,0.87,
70,,,,第1节,-1.5,1.0,1.5,1.0,155.5,0.87,155.5,0.87,155.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,,0.87,0.87,
71,,,,第1节,-1.5,0.77,-1.5,1.0,155.5,0.87,155.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,,0.87,0.87,
72,,,,第1节,1.5,0.77,-1.5,1.0,155.5,0.87,155.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,35.0,0,,21094.0,,0.87,0.87,"0.19,0.14"
73,,,,第1节,1.5,0.77,-1.5,1.0,155.5,0.87,155.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,28.0,0,,11077.0,,0.87,0.87,
74,,,,第1节,1.5,0.77,-1.5,1.0,155.5,0.87,155.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,28.0,0,,11077.0,,0.87,0.87,
75,,,,第1节,1.5,0.77,-1.5,1.0,155.5,0.87,155.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,11077.0,,0.87,0.87,
76,,,,第1节,1.5,0.77,-1.5,1.0,155.5,0.87,155.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,11094.0,,0.87,0.87,"0.66,0.42"
77,,,,第1节,1.5,1.0,1.5,0.77,155.5,0.87,155.5,0.87,1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.87,0.87,
78,,,,第1节,-1.5,1.0,1.5,0.77,155.5,0.87,154.5,0.87,-1.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.87,0.87,
79,,,,第1节,-1.5,1.0,1.5,0.77,154.5,0.87,154.5,0.87,154.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.87,0.87,
80,,,,第1节,-1.5,0.91,1.5,0.83,154.5,0.87,156.5,0.91,154.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.87,0.87,
81,,,,第1节,-1.5,0.91,1.5,0.83,156.5,0.83,156.5,0.91,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.87,0.87,
82,,,,第1节,-1.5,0.91,1.5,0.83,156.5,0.83,156.5,0.91,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,4.0,0.0,1,8.0,GD,8.0,0,,21077.0,,0.87,0.87,
83,,,,第1节,-1.5,0.91,1.5,0.83,156.5,0.83,156.5,0.91,156.5,1.0,9220083.0,,,1.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,1,8.0,GD,8.0,0,,21074.0,,0.87,0.87,"0.08,0.57"
84,,,,第1节,-1.5,0.91,1.5,0.83,156.5,0.83,156.5,0.91,156.5,1.0,9220083.0,,,1.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,2.0,4.0,0.0,1,8.0,GD,8.0,0,,11077.0,,0.8,0.95,
85,,,,第1节,-1.5,0.91,1.5,0.83,156.5,0.83,156.5,0.91,156.5,1.0,9220083.0,,,1.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,2.0,4.0,0.0,1,8.0,GD,1.0,0,,11077.0,,0.8,0.95,
86,,,,第1节,-1.5,0.91,1.5,0.83,156.5,0.83,156.5,0.91,156.5,1.0,9220083.0,,,1.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,50.0,0.0,2.0,4.0,0.0,1,8.0,GD,1.0,0,,11077.0,,0.8,0.95,
