,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
58,,,,第1节,-69.5,0.8,69.5,0.87,153.5,0.8,151.5,0.83,-69.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,8.0,GD,14.0,0,,21077.0,
59,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,8.0,GD,14.0,0,,21077.0,
60,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,6.0,GD,57.0,0,,21077.0,
61,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,6.0,GD,57.0,0,,21077.0,
62,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,6.0,GD,56.0,0,,21077.0,
63,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,6.0,GD,56.0,0,,21077.0,
64,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1,6.0,GD,42.0,0,,21077.0,
65,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,6.0,9.0,0.0,1,6.0,GD,42.0,0,,21075.0,"0.36,0.69"
66,,,,第1节,-69.5,0.8,69.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,42.0,0,,11077.0,
67,,,,第1节,-69.5,0.83,71.5,0.83,151.5,0.83,151.5,0.83,71.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,42.0,0,,11077.0,
68,,,,第1节,-71.5,0.83,71.5,0.83,151.5,0.83,154.5,0.83,-71.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,42.0,0,,11077.0,
69,,,,第1节,-71.5,0.83,71.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,42.0,0,,11077.0,
70,,,,第1节,-71.5,0.83,71.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,25.0,0,,11077.0,
