,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
60,44.0,5.0,第4节,16.5,0.8,-16.5,0.87,16.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,46.0,0,,11077.0
61,44.0,5.0,第4节,16.5,0.8,-15.5,0.87,-15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,46.0,0,,11077.0
62,44.0,5.0,第4节,15.5,0.8,-15.5,0.87,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,45.0,0,,11077.0
63,44.0,5.0,第4节,15.5,0.8,-15.5,0.87,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,45.0,0,,21077.0
64,44.0,5.0,第4节,15.5,0.8,-15.5,0.87,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,41.0,0,,21077.0
65,44.0,5.0,第4节,15.5,0.8,-15.5,0.87,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,92,107,0.0,1,3.0,41.0,0,,21074.0
66,44.0,5.0,第4节,15.5,0.8,-15.5,0.87,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,41.0,0,,11077.0
67,44.0,5.0,第4节,15.5,0.83,-14.5,0.83,-14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,41.0,0,,11077.0
68,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,40.0,0,,11077.0
69,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,40.0,0,,11081.0
70,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,41.0,0,,11081.0
71,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,41.0,0,,11077.0
72,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,31.0,0,,11077.0
73,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,1.0,1,3.0,31.0,0,,11077.0
74,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,1.0,1,3.0,31.0,0,,21086.0
75,44.0,5.0,第4节,14.5,0.91,-14.5,0.77,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,1.0,1,3.0,31.0,0,,11077.0
76,44.0,5.0,第4节,14.5,0.77,-15.5,0.91,-15.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,1.0,1,3.0,31.0,0,,11078.0
77,44.0,5.0,第4节,15.5,0.77,-15.5,0.91,15.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,31.0,0,,11078.0
78,44.0,5.0,第4节,15.5,0.77,-15.5,0.91,15.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,107,0.0,1,3.0,31.0,0,,11079.0
79,44.0,5.0,第4节,15.5,0.77,-15.5,0.91,15.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,108,0.0,1,3.0,31.0,0,,11078.0
80,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,108,0.0,1,3.0,31.0,0,,11079.0
81,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,31.0,0,,21077.0
82,44.0,5.0,第4节,15.5,0.87,-16.5,0.8,-16.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,31.0,0,,11077.0
83,44.0,5.0,第4节,16.5,0.87,-16.5,0.8,16.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,24.0,0,,11077.0
84,44.0,5.0,第4节,16.5,0.83,-15.5,0.83,-15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,24.0,0,,11077.0
85,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,15.0,0,,11077.0
86,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,15.0,0,,21077.0
87,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,12.0,0,,21077.0
88,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,1.0,1,3.0,12.0,0,,21077.0
89,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,1.0,1,3.0,12.0,0,,11086.0
90,44.0,5.0,第4节,15.5,0.83,-15.5,0.83,15.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,1.0,1,3.0,12.0,0,,21077.0
91,44.0,5.0,第4节,15.5,0.77,-15.5,0.91,15.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,12.0,0,,21078.0
92,44.0,5.0,第4节,15.5,0.77,-15.5,0.91,15.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,94,109,0.0,1,3.0,12.0,0,,21079.0
93,44.0,5.0,第4节,15.5,0.77,-15.5,0.91,15.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,95,109,0.0,1,3.0,12.0,0,,21078.0
94,44.0,5.0,第4节,15.5,0.91,-14.5,0.77,-14.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,95,109,0.0,1,3.0,12.0,0,,21078.0
95,44.0,5.0,第4节,14.5,0.91,-14.5,0.77,14.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,95,109,0.0,1,3.0,12.0,0,,21079.0
96,44.0,5.0,第4节,14.5,0.91,-14.5,0.77,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,0.0,1,3.0,12.0,0,,11077.0
97,44.0,5.0,第4节,14.5,0.87,-14.5,0.8,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,0.0,1,2.0,59.0,0,,11077.0
98,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,59.0,0,,11077.0
99,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,53.0,0,,11077.0
100,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,53.0,0,,11077.0
101,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,51.0,0,,11077.0
102,44.0,5.0,第4节,14.5,0.83,-13.5,0.83,-13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,51.0,0,,21077.0
103,44.0,5.0,第4节,13.5,0.83,-13.5,0.83,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,47.0,0,,21077.0
104,44.0,5.0,第4节,13.5,0.83,-13.5,0.83,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,47.0,0,,11086.0
