,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,MS,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
74,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,193.5,0.87,193.5,0.8,193.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,11.0,1.0,20180721113435.0,11077.0,,0.0,0.0
75,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,193.5,0.87,193.5,0.8,8.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,11.0,1.0,20180721113435.0,11077.0,,0.0,0.0
76,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,193.5,0.83,193.5,0.83,-8.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,8.0,1.0,20180721113438.0,11075.0,,0.0,0.0
77,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,192.5,0.87,193.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,8.0,1.0,20180721113438.0,21077.0,,0.0,0.0
78,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,192.5,0.87,192.5,0.8,192.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,8.0,1.0,20180721113438.0,21077.0,,0.0,0.0
79,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,192.5,0.87,192.5,0.8,192.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721113446.0,21077.0,,0.0,0.0
80,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,192.5,0.83,192.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721113446.0,11077.0,,0.0,0.0
81,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,192.5,0.83,192.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180721113455.0,11077.0,,0.0,0.0
82,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,191.5,0.83,192.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180721113455.0,11077.0,,0.0,0.0
83,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,9.0,1~GD,47.0,1.0,20180721113459.0,11077.0,,0.0,0.0
84,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,9.0,1~GD,47.0,1.0,20180721113459.0,21077.0,,0.0,0.0
85,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180721113505.0,21077.0,,0.0,0.0
86,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,194.5,0.83,191.5,0.83,194.5,,,9482924.0,0.0,,,,,,,,,,,6.0,0.0,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180721113505.0,11077.0,,0.0,0.0
87,,,PHUMUSVI,,,,8.5,0.83,-8.5,0.83,194.5,0.83,194.5,0.83,194.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180721113511.0,11077.0,,0.0,0.0
88,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.83,194.5,0.83,194.5,0.83,10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180721113511.0,11077.0,,0.0,0.0
89,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,32.0,0.0,20180721113514.0,11075.0,,0.0,0.0
90,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,32.0,0.0,20180721113514.0,11075.0,,0.0,0.0
91,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,0.0,20180721113518.0,11075.0,,0.0,0.0
92,44.0,5.0,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,0.0,20180721113518.0,11075.0,,0.0,0.0
93,44.0,5.0,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,0.0,20180721113519.0,11075.0,,0.0,0.0
94,44.0,5.0,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,0.0,20180721113519.0,11081.0,,0.0,0.0
95,44.0,5.0,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,0.0,20180721113521.0,11081.0,,0.0,0.0
96,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,^,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,0.0,20180721113521.0,11077^21081,,0.0,0.0
97,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,^,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,1.0,20180721113649.0,11077^21081,,0.0,0.0
98,,,PHUMUSVI,,,,10.5,0.8,-10.5,0.87,194.5,0.83,194.5,0.83,-10.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,1.0,20180721113649.0,11077.0,,0.0,0.0
99,,,PHUMUSVI,,,,9.5,0.87,-9.5,0.87,194.5,0.83,194.5,0.83,9.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,34.0,1.0,20180721113649.0,11077.0,,0.0,0.0
100,,,PHUMUSVI,,,,9.5,0.87,-9.5,0.8,194.5,0.83,194.5,0.83,-9.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,26.0,1.0,20180721113657.0,21077.0,,0.0,0.0
101,,,PHUMUSVI,,,,9.5,0.87,-9.5,0.8,193.5,0.83,194.5,0.83,193.5,,,9482924.0,0.0,,,,,,,,,,,9.0,0.0,0.0,0.0,1,9.0,1~GD,26.0,1.0,20180721113657.0,21077.0,,0.0,0.0
