,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
112,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,149.5,0.8,149.5,0.8695652173913043,7.0,4.0,0.025,1:1,70.0,61.0,0,1,4.0,31.0,0.0,20180913154425.0,21078.0,10.5,0.016666666666666666,
113,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,149.5,0.8695652173913043,149.5,0.8,7.0,4.0,0.030303030303030304,1:1,70.0,62.0,0,1,4.0,31.0,0.0,20180913154444.0,21078.0,10.5,0.016666666666666666,
114,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,149.5,0.8695652173913043,149.5,0.8,7.0,4.0,0.030303030303030304,1:1^,70.0,62.0,0,1,4.0,31.0,1.0,20180913154448.0,21079^11077,10.5,0.016666666666666666,^
115,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,149.5,0.8695652173913043,149.5,0.8,7.0,4.0,0.030303030303030304,1:1^,70.0,62.0,0,1,4.0,30.0,1.0,20180913154448.0,21079^11077,10.5,0.016666666666666666,^
116,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,149.5,0.8333333333333334,149.5,0.8333333333333334,7.0,4.0,0.030303030303030304,,70.0,62.0,0,1,4.0,30.0,1.0,20180913154449.0,11077.0,10.5,0.016666666666666666,
117,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,149.5,0.7142857142857143,149.5,1.0,7.0,4.0,0.025,,70.0,62.0,0,1,4.0,21.0,1.0,20180913154457.0,11077.0,10.5,0.016666666666666666,
118,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,148.5,0.8333333333333334,148.5,0.8333333333333334,7.0,4.0,0.025,,70.0,62.0,0,1,4.0,13.0,1.0,20180913154505.0,11077.0,10.5,0.016666666666666666,
119,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,148.5,0.8,148.5,0.8695652173913043,7.0,4.0,0.025,,70.0,62.0,0,1,4.0,11.0,1.0,20180913154510.0,11077.0,10.5,0.016666666666666666,
120,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,148.5,0.7692307692307693,148.5,0.9090909090909091,7.0,4.0,0.025,,70.0,62.0,0,1,4.0,9.0,0.0,20180913154511.0,11077.0,10.5,0.016666666666666666,
121,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,148.5,0.7692307692307693,148.5,0.9090909090909091,7.0,4.0,0.025,^,70.0,62.0,0,1,4.0,10.0,0.0,20180913154516.0,21086^11077,10.5,0.016666666666666666,^
122,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8,148.5,0.7692307692307693,148.5,0.9090909090909091,7.0,4.0,0.025,^,70.0,62.0,0,1,4.0,10.0,0.0,20180913154517.0,21086^11077,10.5,0.016666666666666666,^
123,44.0,5.0,Q4,4th Quarter,11.5,0.8695652173913043,-11.5,0.8,149.5,0.8333333333333334,149.5,0.8333333333333334,7.0,4.0,0.025,1:2,70.0,62.0,0,1,4.0,10.0,0.0,20180913154517.0,11078.0,10.5,0.016666666666666666,
124,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,7.0,4.0,0.015151515151515152,2:2^,72.0,62.0,0,1,4.0,10.0,0.0,20180913154549.0,11079^21077,10.5,0.016666666666666666,
125,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,7.0,4.0,0.015151515151515152,2:2^,72.0,62.0,0,1,4.0,9.0,0.0,20180913154549.0,11079^21077,10.5,0.016666666666666666,
126,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,150.5,0.7692307692307693,150.5,0.9090909090909091,7.0,4.0,0.015151515151515152,,72.0,62.0,0,1,4.0,9.0,0.0,20180913154555.0,21077.0,10.5,0.016666666666666666,
127,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,149.5,0.8695652173913043,149.5,0.8,7.0,4.0,0.015151515151515152,,72.0,62.0,0,1,4.0,0.0,0.0,20180913154603.0,21077.0,10.5,0.016666666666666666,
128,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,7.0,4.0,0.025,^,72.0,64.0,0,1,3.0,55.0,0.0,20180913154608.0,21074^11077,10.5,0.016666666666666666,^
129,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,151.5,0.8,151.5,0.8695652173913043,7.0,4.0,0.025,,72.0,64.0,0,1,3.0,54.0,0.0,20180913154609.0,11077.0,10.5,0.016666666666666666,
130,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,150.5,0.9090909090909091,150.5,0.7692307692307693,7.0,4.0,0.02,,72.0,64.0,0,1,3.0,45.0,0.0,20180913154617.0,11077.0,10.5,0.016666666666666666,
131,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,150.5,0.8695652173913043,150.5,0.8,7.0,4.0,0.02,,72.0,64.0,0,1,3.0,43.0,0.0,20180913154619.0,11077.0,10.5,0.016666666666666666,
132,44.0,5.0,Q4,4th Quarter,11.5,0.8,-11.5,0.8695652173913043,150.5,0.8695652173913043,150.5,0.8,7.0,4.0,0.02,^,72.0,64.0,0,1,3.0,45.0,0.0,20180913154629.0,21086^11077,10.5,0.016666666666666666,^
133,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-11.5,0.8333333333333334,152.5,0.7142857142857143,152.5,1.0,7.0,4.0,0.02,1:2,72.0,64.0,0,1,3.0,45.0,0.0,20180913154630.0,11078.0,10.5,0.016666666666666666,
134,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-11.5,0.7692307692307693,152.5,0.8333333333333334,152.5,0.8333333333333334,7.0,4.0,0.016666666666666666,1:2^2:2,73.0,64.0,0,1,3.0,45.0,0.0,20180913154647.0,11079^11078,10.5,0.016666666666666666,^
135,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-11.5,0.7692307692307693,153.5,0.8333333333333334,153.5,0.8333333333333334,7.0,4.0,0.02,1:2^2:2,73.0,64.0,0,1,3.0,45.0,0.0,20180913154647.0,11079^11078,10.5,0.016666666666666666,^
136,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-10.5,0.8695652173913043,153.5,0.9090909090909091,153.5,0.7692307692307693,7.0,4.0,0.015151515151515152,2:2^,74.0,64.0,0,1,3.0,45.0,0.0,20180913154659.0,11079^21077,10.5,0.016666666666666666,^
137,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-10.5,0.8695652173913043,153.5,0.9090909090909091,153.5,0.7692307692307693,7.0,4.0,0.015151515151515152,2:2^,74.0,64.0,0,1,3.0,44.0,0.0,20180913154659.0,11079^21077,10.5,0.016666666666666666,^
138,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-10.5,0.8695652173913043,153.5,0.9090909090909091,153.5,0.7692307692307693,7.0,4.0,0.015151515151515152,,74.0,64.0,0,1,3.0,44.0,0.0,20180913154659.0,21077.0,10.5,0.016666666666666666,
