,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
81,,,,,17.5,0.83,-17.5,0.83,147.5,0.83,147.5,0.83,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,37.0,1.0,20180721013522.0,11077.0,0.0,0.0
82,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,147.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,37.0,1.0,20180721013522.0,11077.0,0.0,0.0
83,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,146.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013525.0,11077.0,0.0,0.0
84,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,146.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013525.0,11077.0,0.0,0.0
85,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,146.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013527.0,11077.0,0.0,0.0
86,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,146.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013527.0,11077.0,0.0,0.0
87,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,146.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013534.0,11077.0,0.0,0.0
88,,,,,17.5,0.83,-17.5,0.83,147.5,0.87,146.5,0.8,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013534.0,21086.0,0.0,0.0
89,,,,,17.5,0.83,-17.5,0.83,147.5,0.87,147.5,0.8,147.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013542.0,21086.0,0.0,0.0
90,,,,,18.5,0.83,-18.5,0.83,147.5,0.87,147.5,0.8,18.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013542.0,21086.0,0.0,0.0
91,,,,,18.5,0.83,-18.5,0.83,147.5,0.83,147.5,0.8,-18.5,,0.0,1:2,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013548.0,11078.0,0.0,0.0
92,,,,,17.5,0.83,-17.5,0.83,147.5,0.83,147.5,0.83,17.5,,0.0,1:2,,,5,11.0,10,4.0,3,4,2.0,0,36.4,37.5,41.0,41,31.0,0.0,1,8.0,29.0,0.0,20180721013548.0,11078.0,0.0,0.0
93,,,,,17.5,0.83,-17.5,0.83,147.5,0.83,147.5,0.83,-17.5,,0.0,1:2^2:2,,,5,11.0,10,4.0,3,4,2.0,0,33.3,37.5,41.0,41,31.0,0.0,1,8.0,29.0,1.0,20180721013559.0,11080^11078,0.0,0.0
94,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,147.5,0.83,146.5,,0.0,1:2^2:2,,,5,11.0,10,4.0,3,4,2.0,0,33.3,37.5,41.0,41,31.0,0.0,1,8.0,29.0,1.0,20180721013559.0,11080^11078,0.0,0.0
95,,,,,17.5,0.8,-17.5,0.87,146.5,0.83,146.5,0.83,146.5,,0.0,2:2^,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,29.0,1.0,20180721013559.0,11080^21077,0.0,0.0
96,,,,,17.5,0.83,-17.5,0.83,146.5,0.83,146.5,0.83,146.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,27.0,1.0,20180721013600.0,1077.0,0.0,0.0
97,,,,,17.5,0.8,-17.5,0.87,145.5,0.87,146.5,0.8,145.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,27.0,1.0,20180721013600.0,21077.0,0.0,0.0
98,,,,,17.5,0.8,-17.5,0.87,145.5,0.87,145.5,0.8,145.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,19.0,1.0,20180721013608.0,21077.0,0.0,0.0
99,,,,,17.5,0.8,-17.5,0.87,145.5,0.83,145.5,0.83,145.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,19.0,1.0,20180721013608.0,21077.0,0.0,0.0
100,,,,,17.5,0.8,-17.5,0.87,145.5,0.83,145.5,0.83,145.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,13.0,1.0,20180721013615.0,21077.0,0.0,0.0
101,,,,,16.5,0.87,-16.5,0.87,145.5,0.83,145.5,0.83,16.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,13.0,1.0,20180721013615.0,21077.0,0.0,0.0
102,,,,,16.5,0.87,-16.5,0.8,145.5,0.8,145.5,0.83,-16.5,,0.0,,,,5,11.0,10,4.0,3,4,2.0,0,30.8,37.5,41.0,41,31.0,0.0,1,8.0,13.0,1.0,20180721013615.0,21095.0,0.0,0.0
